frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
1,0.947,CRUISE,0.35,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
2,1.885,CRUISE,0.2625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
3,2.198,CRUISE,0.2625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
4,2.513,CRUISE,0.2625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
5,2.882,CRUISE,0.1875,0.375,0.0,-0.0325,0.0026,0.0,0.0,0.0,
6,3.264,CRUISE,0.1875,0.375,0.0,-0.0296,0.003,0.0,0.0,0.0,
7,3.628,CRUISE,0.1875,0.375,0.0,-0.0254,0.0031,0.0,0.0,0.0,
8,3.965,CRUISE,0.1875,0.375,0.0,-0.0216,0.0031,0.0,0.0,0.0,
9,4.313,CRUISE,0.1875,0.375,0.0,-0.0183,0.003,0.0,0.0,0.0,
10,4.662,CRUISE,0.1875,0.375,0.0,-0.0157,0.0028,0.0,0.0,0.0,
11,5.021,CRUISE,0.1875,0.375,0.0,-0.0135,0.0027,0.0,0.0,0.0,
12,5.296,CRUISE,0.1875,0.375,0.0,-0.0118,0.0026,0.0,0.0,0.0,
13,5.645,CRUISE,0.1875,0.375,0.0,-0.0103,0.0024,0.0,0.0,0.0,
14,5.934,CRUISE,0.1875,0.375,0.0,-0.0091,0.0023,0.0,0.0,0.0,
15,6.178,CRUISE,0.1875,0.375,0.0,-0.0081,0.0022,0.0,0.0,0.0,
16,6.39,CRUISE,0.1875,0.375,0.0,-0.0072,0.0021,0.0,0.0,0.0,
17,6.583,CRUISE,0.1875,0.375,0.0,-0.0065,0.002,0.0,0.0,0.0,
18,6.777,CRUISE,0.1875,0.375,0.0,-0.0059,0.0019,0.0,0.0,0.0,
19,6.981,CRUISE,0.1875,0.375,0.0,-0.0053,0.0019,0.0,0.0,0.0,
20,7.181,CRUISE,0.1875,0.375,0.0,-0.0049,0.0018,0.0,0.0,0.0,
21,7.373,CRUISE,0.1875,0.375,0.0,-0.0044,0.0017,0.0,0.0,0.0,
22,7.568,CRUISE,0.1875,0.375,0.0,-0.0041,0.0017,0.0,0.0,0.0,
23,7.762,CRUISE,0.1875,0.375,0.0,-0.0038,0.0016,0.0,0.0,0.0,
24,7.974,CRUISE,0.1875,0.375,0.0,-0.0035,0.0015,0.0,0.0,0.0,
25,8.168,CRUISE,0.1875,0.375,0.0,-0.0032,0.0015,0.0,0.0,0.0,
26,8.364,CRUISE,0.1875,0.375,0.0,-0.003,0.0014,0.0,0.0,0.0,
27,8.557,CRUISE,0.1875,0.375,0.0,-0.0028,0.0014,0.0,0.0,0.0,
28,8.749,CRUISE,0.1875,0.375,0.0,-0.0026,0.0014,0.0,0.0,0.0,
29,8.984,CRUISE,0.1875,0.375,0.0,-0.0025,0.0013,0.0,0.0,0.0,
30,9.284,CRUISE,0.1875,0.375,0.0,-0.0023,0.0013,0.0,0.0,0.0,
31,9.479,CRUISE,0.1875,0.375,0.0,-0.0014,0.0005,0.0,0.0,0.0,
32,9.677,CRUISE,0.1875,0.375,0.0,-0.0009,0.0003,0.0,0.0,0.0,
33,9.892,CRUISE,0.1875,0.375,0.0,-0.0005,0.0002,0.0,0.0,0.0,
34,10.147,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
35,10.411,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
36,10.624,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
37,10.83,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
38,11.013,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
39,11.217,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
40,11.407,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
41,11.647,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
42,11.852,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
43,12.039,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
44,12.268,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
45,12.479,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
46,12.682,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
47,12.878,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
48,13.082,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
49,13.279,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
50,13.481,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
51,13.675,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
52,13.872,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
53,14.083,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
54,14.279,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
55,14.484,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
56,14.709,CRUISE,0.1875,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
57,14.918,CRUISE,0.2948,0.5897,0.0,0.0007,0.0004,0.0,0.0001,0.0,
58,15.166,CRUISE,0.3409,0.6819,0.0,0.0016,0.0011,0.0001,0.0003,0.0,
59,15.367,PROBE,0.3684,0.7368,0.0,0.0027,0.002,0.02,0.0571,0.0,G1
60,15.566,PROBE,0.3832,0.7665,0.0,0.0038,0.0031,0.0079,0.0227,0.0,
61,15.773,PROBE,0.3818,0.7635,0.0,0.0047,0.004,0.1787,0.5107,0.0,
62,15.977,PROBE,0.3824,0.7648,0.0,0.0056,0.0049,0.2715,0.7758,0.0,
63,16.167,PROBE,0.3937,0.7874,0.0,0.0065,0.0058,0.2973,0.8496,0.0,
64,16.364,PROBE,0.3937,0.7874,0.0,0.0073,0.0066,0.0,0.0,0.0,
