frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
1,0.977,CRUISE,0.225,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
2,1.949,CRUISE,0.1688,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
3,2.163,CRUISE,0.2421,0.5379,0.0,0.0,0.0,0.0588,0.168,0.0,
4,2.39,CRUISE,0.2342,0.5205,0.0,0.0,0.0,0.0,0.0,0.0,
5,2.611,CRUISE,0.2282,0.5072,0.0,0.0072,0.0007,0.0,0.0,0.0,
6,2.877,CRUISE,0.2235,0.4967,0.0,0.0047,0.0006,0.0,0.0,0.0,
7,3.088,CRUISE,0.2197,0.4883,0.0,0.0029,0.0005,0.0,0.0,0.0,
8,3.287,CRUISE,0.2166,0.4813,0.0,0.0016,0.0004,0.0,0.0,0.0,
9,3.45,CRUISE,0.214,0.4755,0.0,0.0007,0.0004,0.0,0.0,0.0,
10,3.728,CRUISE,0.2117,0.4705,0.0,0.0001,0.0004,0.0,0.0,0.0,
11,3.97,CRUISE,0.2098,0.4661,0.0,-0.0003,0.0003,0.0,0.0,0.0,
12,4.2,CRUISE,0.208,0.4623,0.0,-0.0006,0.0003,0.0,0.0,0.0,
13,4.413,CRUISE,0.2065,0.4589,0.0,-0.0008,0.0003,0.0,0.0,0.0,
14,4.632,CRUISE,0.2052,0.4559,0.0,-0.001,0.0003,0.0,0.0,0.0,
15,4.839,CRUISE,0.2039,0.4532,0.0,-0.0011,0.0003,0.0,0.0,0.0,
16,5.017,CRUISE,0.2028,0.4507,0.0,-0.0011,0.0003,0.0,0.0,0.0,
17,5.177,CRUISE,0.2018,0.4484,0.0,-0.0012,0.0003,0.0,0.0,0.0,
18,5.32,CRUISE,0.2009,0.4464,0.0,-0.0012,0.0002,0.0,0.0,0.0,
19,5.462,CRUISE,0.2,0.4445,0.0,-0.0012,0.0002,0.0,0.0,0.0,
20,5.586,CRUISE,0.1992,0.4427,0.0,-0.0012,0.0002,0.0,0.0,0.0,
21,5.717,CRUISE,0.1985,0.441,0.0,-0.0012,0.0002,0.0,0.0,0.0,
22,5.839,CRUISE,0.1978,0.4395,0.0,-0.0012,0.0002,0.0,0.0,0.0,
23,5.968,CRUISE,0.1971,0.4381,0.0,-0.0012,0.0002,0.0,0.0,0.0,
24,6.102,CRUISE,0.1965,0.4368,0.0,-0.0012,0.0002,0.0,0.0,0.0,
25,6.232,CRUISE,0.196,0.4355,0.0,-0.0012,0.0002,0.0,0.0,0.0,
26,6.362,CRUISE,0.1954,0.4343,0.0,-0.0011,0.0002,0.0,0.0,0.0,
27,6.484,CRUISE,0.1949,0.4332,0.0,-0.0011,0.0002,0.0,0.0,0.0,
28,6.62,CRUISE,0.1945,0.4321,0.0,-0.0011,0.0002,0.0,0.0,0.0,
29,6.754,CRUISE,0.194,0.4311,0.0,-0.0011,0.0002,0.0,0.0,0.0,
30,6.887,CRUISE,0.1936,0.4302,0.0,-0.0011,0.0002,0.0,0.0,0.0,
31,7.017,CRUISE,0.1936,0.4302,0.0,-0.001,0.0002,0.0,0.0,0.0,
32,7.154,CRUISE,0.1936,0.4302,0.0,-0.0013,0.0002,0.0,0.0,0.0,
33,7.281,CRUISE,0.1688,0.375,0.0,-0.0013,0.0002,0.0,0.0,0.0,
34,7.414,CRUISE,0.1688,0.375,0.0,-0.0013,0.0002,0.0,0.0,0.0,
35,7.563,CRUISE,0.1688,0.375,0.0,-0.0014,0.0002,0.0,0.0,0.0,
36,7.704,CRUISE,0.1688,0.375,0.0,-0.0014,0.0002,0.0,0.0,0.0,
37,7.841,CRUISE,0.1688,0.375,0.0,-0.0014,0.0002,0.0,0.0,0.0,
