frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
1,1.057,CRUISE,0.225,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
2,1.937,CRUISE,0.1688,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
3,2.173,CRUISE,0.2058,0.4573,0.0,0.0,0.0,0.0661,0.1889,0.0,
4,2.419,CRUISE,0.3384,0.7521,0.0,0.0,0.0,0.006,0.0172,0.0,
5,2.647,CRUISE,0.33,0.7333,0.0,0.038,0.0047,0.0216,0.0616,0.0,
6,2.916,CRUISE,0.3434,0.7631,0.0,0.0345,0.005,0.2474,0.707,0.0,
7,3.165,CRUISE,0.33,0.7333,0.0,0.0282,0.0048,0.3042,0.8692,0.0,
8,3.425,CRUISE,0.3189,0.7086,0.0,0.0222,0.0043,0.3219,0.9198,0.0,
9,3.684,CRUISE,0.3122,0.6939,0.0,0.0175,0.004,0.329,0.9401,0.0,
10,3.942,CRUISE,0.3059,0.6798,0.0,0.0139,0.0036,0.3351,0.9575,0.0,
11,4.182,CRUISE,0.3022,0.6715,0.0,0.011,0.0033,0.3393,0.9693,0.0,
12,4.452,CRUISE,0.2983,0.6629,0.0,0.0088,0.003,0.3415,0.9757,0.0,
13,4.711,CRUISE,0.2935,0.6521,0.0,0.0071,0.0028,0.3418,0.9764,0.0,
14,4.946,CRUISE,0.2935,0.6522,0.0,0.0057,0.0026,0.3413,0.9752,0.0,
15,5.223,CRUISE,0.2902,0.6449,0.0,0.0047,0.0024,0.3415,0.9756,0.0,
16,5.434,CRUISE,0.2882,0.6404,0.0,0.0038,0.0023,0.3424,0.9782,0.0,
17,5.672,CRUISE,0.2847,0.6326,0.0,0.0031,0.0021,0.3427,0.979,0.0,
18,5.901,CRUISE,0.2837,0.6303,0.0,0.0025,0.002,0.3431,0.9803,0.0,
19,6.124,CRUISE,0.2774,0.6165,0.0,0.0019,0.0019,0.3429,0.9797,0.0,
20,6.312,CRUISE,0.2727,0.6059,0.0,0.0014,0.0018,0.3427,0.979,0.0,
21,6.464,CRUISE,0.2673,0.594,0.0,0.0009,0.0018,0.3421,0.9775,0.0,
22,6.614,CRUISE,0.2748,0.6106,0.0,0.0007,0.0017,0.3416,0.9761,0.0,
23,6.809,CRUISE,0.3461,0.6033,0.1357,0.0012,0.0018,0.3416,0.9761,0.0,
24,6.98,PROBE,0.3648,0.5998,0.1725,0.0018,0.0019,0.3409,0.974,0.0,G1
25,7.173,PROBE,0.4091,0.5924,0.2591,0.0027,0.0024,0.341,0.9744,0.0,
26,7.366,PROBE,0.4174,0.5832,0.2819,0.0034,0.0028,0.3415,0.9758,0.0,
27,7.554,PROBE,0.449,0.576,0.3451,0.0042,0.0035,0.3426,0.9789,0.0,
28,7.711,PROBE,0.4624,0.5861,0.3611,0.0049,0.0042,0.3424,0.9784,0.0,
29,7.903,PROBE,0.472,0.6042,0.3638,0.0055,0.0049,0.3419,0.9768,0.0,
30,8.078,PROBE,0.4667,0.5965,0.3605,0.006,0.0054,0.3408,0.9737,0.0,
31,8.244,PROBE,0.4476,0.5619,0.3541,0.0061,0.0056,0.3406,0.973,0.0,
32,8.383,PROBE,0.2644,0.5876,0.0,0.0046,0.0048,0.2726,0.7787,0.0,
33,8.509,PROBE,0.2589,0.5753,0.0,0.0032,0.0045,0.0,0.0,0.0,
34,8.643,PROBE,0.2727,0.6061,0.0,0.0028,0.0046,0.3271,0.9345,0.0,
35,8.775,PROBE,0.282,0.6266,0.0,0.0025,0.0047,0.3377,0.9647,0.0,
36,8.906,PROBE,0.2816,0.6257,0.0,0.0022,0.0048,0.0001,0.0003,0.0,
37,9.029,PROBE,0.2798,0.6217,0.0,0.0019,0.0048,0.0001,0.0003,0.0,
38,9.157,PROBE,0.2817,0.6259,0.0,0.0015,0.0049,0.0037,0.0106,0.0,
39,9.286,PROBE,0.2932,0.6516,0.0,0.0012,0.0049,0.0,0.0,0.0,
40,9.409,PROBE,0.3019,0.6709,0.0,0.0009,0.005,0.0,0.0,0.0,
41,9.533,PROBE,0.3106,0.6902,0.0,0.0007,0.0049,0.0,0.0,0.0,
42,9.659,PROBE,0.3168,0.7041,0.0,0.0004,0.0049,0.0,0.0,0.0,
43,9.806,PROBE,0.3181,0.707,0.0,0.0001,0.0049,0.0,0.0,0.0,
44,9.991,HOLD,0.3251,0.7224,0.0,-0.0001,0.0048,0.0,0.0,0.0,G2
45,10.124,HOLD,0.3249,0.7219,0.0,-0.0004,0.0048,0.0,0.0,0.0,
46,10.256,HOLD,0.3252,0.7227,0.0,-0.0007,0.0047,0.0,0.0,0.0,
47,10.38,HOLD,0.3244,0.7209,0.0,-0.0011,0.0047,0.0,0.0,0.0,
48,10.508,PROBE,0.3291,0.7314,0.0,-0.0015,0.0046,0.0,0.0,0.0,G5
49,10.633,PROBE,0.328,0.7288,0.0,-0.0019,0.0045,0.0,0.0,0.0,
50,10.768,PROBE,0.3205,0.7122,0.0,-0.0024,0.0043,0.0,0.0,0.0,
51,10.9,PROBE,0.3146,0.6992,0.0,-0.003,0.0042,0.0,0.0,0.0,
52,11.027,PROBE,0.3174,0.7054,0.0,-0.0036,0.0041,0.0,0.0,0.0,
53,11.147,PROBE,0.3171,0.7048,0.0,-0.0037,0.0041,0.0,0.0,0.0,
54,11.282,PROBE,0.3177,0.7061,0.0,-0.0037,0.0041,0.0,0.0,0.0,
55,11.407,PROBE,0.3185,0.7079,0.0,-0.0033,0.0039,0.3453,0.9866,0.0,
56,11.534,COMMIT,0.3094,0.6876,0.0,-0.0029,0.0037,0.0,0.0,0.0,G3
57,11.661,COMMIT,0.3073,0.6829,0.0,-0.0023,0.0032,0.345,0.9858,0.0,
58,11.786,COMMIT,0.308,0.6844,0.0,-0.0014,0.0026,0.1,0.0,0.0,
59,11.91,CRUISE,0.3089,0.6865,0.0,-0.0005,0.0018,0.05,0.0,0.0,G7_from_commit
60,12.06,CRUISE,0.2982,0.6626,0.0,0.0004,0.001,0.0333,0.0,0.0,
61,12.187,CRUISE,0.2918,0.6486,0.0,0.0013,0.0004,0.025,0.0,0.0,
62,12.32,CRUISE,0.2876,0.639,0.0,0.0009,0.0003,0.02,0.0,0.0,
63,12.448,CRUISE,0.2878,0.6396,0.0,0.0005,0.0003,0.377,0.9819,0.0,
64,12.585,CRUISE,0.2917,0.6482,0.0,0.0001,0.0002,0.3851,0.9777,0.0,
65,12.717,CRUISE,0.2921,0.6492,0.0,-0.0002,0.0002,0.05,0.0,0.0,
66,12.847,CRUISE,0.2596,0.5768,0.0,-0.0006,0.0003,0.0444,0.0,0.0,
67,12.982,CRUISE,0.2199,0.4887,0.0,-0.0014,0.0005,0.3978,0.9937,0.0,
68,13.125,CRUISE,0.2082,0.4627,0.0,-0.0022,0.0008,0.0,0.0,0.0,
69,13.258,CRUISE,0.2126,0.4725,0.0,-0.0028,0.0011,0.3483,0.995,0.0,
70,13.384,CRUISE,0.2126,0.4725,0.0,-0.0034,0.0013,0.0,0.0,0.0,
71,13.51,CRUISE,0.2138,0.475,0.0,-0.0038,0.0015,0.3482,0.9948,0.0,
