frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
67,11.673,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
68,11.859,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
69,12.053,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
70,12.214,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
71,12.402,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
72,12.593,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
73,12.818,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
74,12.996,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
75,13.194,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
76,13.357,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
77,13.531,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
78,13.679,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
79,13.819,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
80,13.956,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
81,14.112,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
82,14.256,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
83,14.406,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
84,14.531,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
85,14.665,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
86,14.797,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
87,14.924,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
88,15.056,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
89,15.184,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
