arch,lr,test_acc,time_s,acc_pedestrian,acc_merge,acc_occluded
EfficientNetB0,0.0005,75.22,3148.8,57.6,67.1,99.8
MobileNetV2,0.0005,71.09,4507.9,22.7,94.1,94.2
