epoch,train_loss,val_loss
0,0.08027027946673075,0.029889101028442163
1,0.04787298878201341,0.020711196728420093
2,0.035340221424194115,0.01600729675563115
3,0.027653074024021406,0.013446872628816416
4,0.022927635196938915,0.01168553018922927
5,0.019687258468832347,0.010680203621379055
6,0.017245516026847325,0.009816749233701436
7,0.015502555765675965,0.00936441415676476
8,0.014288170655467539,0.009353835122366077
9,0.013243933569404833,0.008852282794907107
10,0.012454569430502488,0.008540124711755831
11,0.011868367398882307,0.008167246770761812
12,0.011298339755951714,0.008069397261084094
13,0.010837504466627592,0.00787453281940845
14,0.010562490514287063,0.0077692233671870295
15,0.010256703563908745,0.007580172578132656
16,0.009976378211471479,0.0077889472531967145
17,0.00975186928797735,0.007367280763092674
18,0.009584319841220877,0.00761192373785598
19,0.009438458729662716,0.007340496368854569
20,0.009271492133477739,0.007290409258848654
21,0.009158869732563434,0.0071907379880474164
22,0.0090133984186369,0.007431850318384114
23,0.008910036384690389,0.0070623373683140955
24,0.008804092322464395,0.007147280914208619
25,0.00876111358917613,0.007171543014012108
26,0.008655637711506228,0.007201012493772651
27,0.008605176634878258,0.007078260024061501
28,0.008547335808004139,0.0069594459248989654
29,0.008490719684535623,0.006964848988492627
30,0.008392073782065346,0.007104119206284856
31,0.008344695710754583,0.007136736479726353
32,0.008315574182293993,0.006853189448415672
33,0.008280307241464616,0.006902072937344411
34,0.008202528471425014,0.006886216170744568
35,0.008176569146841459,0.006918890484947902
36,0.00811983052237853,0.006840852528194067
37,0.008078892183229372,0.006867083312586989
38,0.008056561736709607,0.00684260540117528
39,0.008034528375549008,0.006756931977587666
40,0.008013231429651014,0.006874723680395801
41,0.007945941378680956,0.00678452469902191
42,0.007940932223776809,0.0067022929723070754
43,0.00791209876122492,0.006721342529374039
44,0.00785405256038273,0.006700563587449093
45,0.007814930361438521,0.006756698054936902
46,0.007791707410217736,0.006671180705833898
47,0.007785439498405198,0.006956704707317976
48,0.007747937774100507,0.006717876721652687
49,0.007739541759130332,0.006709405144141274
50,0.007715781844414177,0.006544103866673495
51,0.007671111704732298,0.006676418073703351
52,0.007670537395163084,0.006599825288836974
53,0.0076481600984997155,0.006641010606588557
54,0.007628600376155099,0.006540725161400653
55,0.00759152839408986,0.0066596974927455605
56,0.007592029296212257,0.006595071567138762
57,0.007554824529374713,0.006690656506330636
58,0.0075234987235221025,0.006514233957559922
59,0.007545604835468837,0.006479258595404315
60,0.007501519175030332,0.00642880883514623
61,0.007495765103844475,0.006623120110645547
62,0.00750105015492699,0.006727814840235213
63,0.007470024326236048,0.006519454890715069
64,0.007446771496648557,0.006471072175040757
65,0.007414419432992809,0.006632388655178424
66,0.007416955266586046,0.006605557567729406
67,0.007386316068739668,0.006562999279602082
68,0.007393911751286536,0.0065114428133981085
69,0.007368665260040366,0.006570009115625808
70,0.007334234320771796,0.006368472442724578
71,0.007320293253572281,0.006571502057242293
72,0.007316443243667008,0.006437081171757277
73,0.007298139305268263,0.00630936272228714
74,0.0072706611645697245,0.006586960394324182
75,0.007262528056219663,0.0063632494584112695
76,0.007261550255462748,0.006386000671898081
77,0.007245997881282441,0.006392998563522104
78,0.007219660045888068,0.006376354091614562
79,0.007229278921815224,0.006423367425326546
80,0.007205466562483685,0.006409765201244023
81,0.0071942891780099995,0.0064832114056663035
82,0.007167149529259937,0.006523598454405159
83,0.007160625376344441,0.006392468914488598
84,0.007151798053359316,0.00653215857234422
85,0.007136810457753583,0.0064013141241536335
86,0.007117464658470821,0.0063726627881254905
87,0.007112881060605102,0.006136923072797026
88,0.007113658275843685,0.006259401460665172
89,0.00710855616013142,0.006374235865613479
90,0.007072263179080416,0.006366637068217077
91,0.007078745431890121,0.0063858730219637444
92,0.0070627651511714915,0.006450259924199576
93,0.007053927076738283,0.0064456554728554655
94,0.007038589774949847,0.006376432931175868
95,0.007061975491357578,0.006367528149702997
96,0.007037344020220658,0.006284508417260267
97,0.007024501411963261,0.006350248328443484
98,0.007001958490488628,0.006302142337132424
99,0.007005897088754814,0.00613255831941934
