epoch,train_loss,val_loss,train_acc,val_acc
0,0.1385896904513431,0.016905967799282412,94.74739374498797,99.25093632958801
1,0.03326176886091558,0.017560384921821156,98.59663191659983,99.06367041198502
2,0.01946104302390804,0.022268840986618993,99.63913392141139,99.06367041198502
3,0.01081508347194288,0.22246501854319564,99.67923015236568,96.44194756554307
4,0.04354210262933451,0.011529399907404321,99.31836407377706,99.62546816479401
5,0.009330619861896431,0.013233377868934493,99.71932638331997,99.43820224719101
6,0.014118656800677015,0.011405589270372515,99.71932638331997,99.62546816479401
7,0.0051239977365884655,0.018068155619135617,99.79951884522855,99.43820224719101
8,0.013104628244141518,0.030493734780226506,99.67923015236568,98.50187265917603
9,0.00579780962463398,0.02218877435729262,99.67923015236568,98.87640449438203
10,0.0042722184498270276,0.0290699481763969,99.87971130713713,98.87640449438203
11,0.004802961172723978,0.018961160649576626,99.87971130713713,99.43820224719101
12,0.0017527540604352254,0.014297768173879804,99.95990376904571,99.43820224719101
13,0.009095219643342763,0.013960096150733936,99.67923015236568,99.43820224719101
14,0.0038313850387648694,0.01713134747680723,99.91980753809142,99.43820224719101
15,0.00281678210108957,0.019119639199434393,99.91980753809142,99.43820224719101
16,0.003733492146068329,0.022807718577523166,99.87971130713713,99.25093632958801
17,0.004589048933796063,0.031226093484031693,99.79951884522855,99.25093632958801
18,0.0017016229955934192,0.02447308749541995,99.95990376904571,99.25093632958801
19,0.008205632449022168,0.012749295740698418,99.79951884522855,99.62546816479401
20,0.0028772867026010574,0.0127910842688433,99.91980753809142,99.62546816479401
21,0.0027141333134283905,0.013029395128355378,99.91980753809142,99.62546816479401
22,0.0037305765582993024,0.014125822319215331,99.87971130713713,99.62546816479401
23,0.0031196765483762134,0.01249569933915328,99.91980753809142,99.62546816479401
24,0.002354460017969382,0.012760778082351595,99.91980753809142,99.62546816479401
25,0.001595199314054368,0.012637444007335782,99.91980753809142,99.62546816479401
26,0.004107263466296765,0.013319967408479523,99.87971130713713,99.62546816479401
27,0.0013068643763752346,0.013301725898774,99.95990376904571,99.62546816479401
28,0.0034564256018752414,0.013389559631896057,99.91980753809142,99.62546816479401
29,0.001269698501440294,0.013541447898040982,99.95990376904571,99.62546816479401
