frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
65,15.761,PROBE,0.3934,0.562,0.0,0.0027,0.0016,0.0,0.0,0.0,
66,15.942,HOLD,0.3934,0.562,0.0,0.0032,0.0015,0.0,0.0,0.0,G2
67,16.121,HOLD,0.3934,0.562,0.0,0.0034,0.0016,0.0,0.0,0.0,
68,16.296,HOLD,0.4026,0.5752,0.0,0.0036,0.0016,0.0661,0.1889,0.0,
69,16.484,HOLD,0.4026,0.5752,0.0,0.0037,0.0016,0.0,0.0,0.0,
70,16.672,HOLD,0.4026,0.5752,0.0,0.0037,0.0016,0.0,0.0,0.0,
71,16.853,HOLD,0.4026,0.5752,0.0,0.0035,0.0016,0.0,0.0,0.0,
72,17.03,HOLD,0.4022,0.5746,0.0,0.0032,0.0014,0.0,0.0,0.0,
73,17.211,HOLD,0.4022,0.5746,0.0,0.0029,0.0012,0.0,0.0,0.0,
74,17.387,HOLD,0.4022,0.5746,0.0,0.0022,0.0008,0.0,0.0,0.0,
75,17.569,HOLD,0.4043,0.5776,0.0,0.0017,0.0005,0.0,0.0,0.0,
76,17.752,HOLD,0.4058,0.5797,0.0,0.0012,0.0002,0.0,0.0,0.0,
77,17.945,HOLD,0.4031,0.5759,0.0,0.0009,0.0001,0.0,0.0,0.0,
78,18.16,HOLD,0.3987,0.5696,0.0,0.0006,0.0,0.0,0.0,0.0,
79,18.346,HOLD,0.385,0.55,0.0,0.0003,0.0,0.0,0.0,0.0,
80,18.522,HOLD,0.3598,0.5139,0.0,0.0001,0.0001,0.0,0.0,0.0,
81,18.708,PROBE,0.3543,0.5061,0.0,-0.0002,0.0001,0.0,0.0,0.0,G5
82,18.884,PROBE,0.3543,0.5061,0.0,-0.0005,0.0002,0.0,0.0,0.0,
83,19.088,PROBE,0.3543,0.5061,0.0,-0.0007,0.0002,0.0,0.0,0.0,
84,19.274,PROBE,0.3543,0.5061,0.0,-0.0009,0.0003,0.0,0.0,0.0,
85,19.449,PROBE,0.3543,0.5061,0.0,-0.0011,0.0003,0.0,0.0,0.0,
86,19.638,PROBE,0.3543,0.5061,0.0,-0.0013,0.0003,0.0,0.0,0.0,
87,19.821,PROBE,0.3566,0.5094,0.0,-0.0015,0.0004,0.3323,0.9495,0.0,
88,19.999,PROBE,0.3631,0.5186,0.0,-0.0016,0.0004,0.3408,0.9737,0.0,
89,20.183,PROBE,0.3613,0.5162,0.0,-0.0017,0.0004,0.0,0.0,0.0,
90,20.352,PROBE,0.3613,0.5162,0.0,-0.0018,0.0004,0.0,0.0,0.0,
91,20.531,PROBE,0.3511,0.5015,0.0,-0.0019,0.0004,0.0,0.0,0.0,
92,20.718,PROBE,0.3511,0.5015,0.0,-0.002,0.0005,0.0,0.0,0.0,
93,20.913,PROBE,0.3511,0.5015,0.0,-0.0021,0.0005,0.0,0.0,0.0,
94,21.104,PROBE,0.3511,0.5015,0.0,-0.0022,0.0005,0.0,0.0,0.0,
95,21.287,PROBE,0.3511,0.5015,0.0,-0.0023,0.0005,0.0,0.0,0.0,
96,21.455,PROBE,0.3511,0.5015,0.0,-0.0023,0.0005,0.0,0.0,0.0,
97,21.627,PROBE,0.3511,0.5015,0.0,-0.0023,0.0005,0.0,0.0,0.0,
98,21.816,COMMIT,0.2951,0.4216,0.0,-0.0027,0.0007,0.0,0.0,0.0,G3
99,21.997,COMMIT,0.2951,0.4216,0.0,-0.0029,0.0008,0.0,0.0,0.0,
100,22.18,CRUISE,0.2951,0.4216,0.0,-0.0031,0.0009,0.0,0.0,0.0,G7_from_commit
101,22.381,CRUISE,0.2951,0.4216,0.0,-0.0033,0.001,0.0,0.0,0.0,
102,22.564,CRUISE,0.2951,0.4216,0.0,-0.0034,0.0011,0.0,0.0,0.0,
103,22.742,CRUISE,0.2951,0.4216,0.0,-0.0035,0.0011,0.0,0.0,0.0,
104,22.928,CRUISE,0.2951,0.4216,0.0,-0.0035,0.0011,0.0,0.0,0.0,
105,23.117,CRUISE,0.2951,0.4216,0.0,-0.0034,0.0011,0.0,0.0,0.0,
106,23.31,CRUISE,0.2951,0.4216,0.0,-0.0033,0.0011,0.0,0.0,0.0,
107,23.503,CRUISE,0.2951,0.4216,0.0,-0.0032,0.001,0.0,0.0,0.0,
108,23.686,CRUISE,0.2951,0.4216,0.0,-0.003,0.0009,0.0,0.0,0.0,
109,23.877,CRUISE,0.2951,0.4216,0.0,-0.0029,0.0009,0.0,0.0,0.0,
110,24.06,CRUISE,0.2951,0.4216,0.0,-0.003,0.0009,0.0,0.0,0.0,
111,24.251,CRUISE,0.2951,0.4216,0.0,-0.003,0.0009,0.0,0.0,0.0,
112,24.428,CRUISE,0.2951,0.4216,0.0,-0.003,0.0009,0.0,0.0,0.0,
113,24.643,CRUISE,0.2951,0.4216,0.0,-0.003,0.0009,0.0,0.0,0.0,
114,24.86,CRUISE,0.2951,0.4216,0.0,-0.003,0.0009,0.0,0.0,0.0,
115,25.089,CRUISE,0.2951,0.4216,0.0,-0.0029,0.0009,0.0,0.0,0.0,
116,25.33,CRUISE,0.2951,0.4216,0.0,-0.0028,0.0008,0.0,0.0,0.0,
117,25.578,CRUISE,0.2918,0.4169,0.0,-0.0027,0.0008,0.0,0.0,0.0,
118,25.827,CRUISE,0.3283,0.469,0.0,-0.0023,0.0007,0.0632,0.1805,0.0,
119,26.049,CRUISE,0.3444,0.492,0.0,-0.0018,0.0007,0.0637,0.1821,0.0,
120,26.246,CRUISE,0.344,0.4914,0.0,-0.0012,0.0006,0.095,0.2715,0.0,
121,26.433,CRUISE,0.344,0.4914,0.0,-0.0008,0.0006,0.0,0.0,0.0,
122,26.607,CRUISE,0.344,0.4914,0.0,-0.0003,0.0006,0.0,0.0,0.0,
123,26.783,CRUISE,0.344,0.4914,0.0,0.0002,0.0006,0.0,0.0,0.0,
124,26.971,CRUISE,0.344,0.4914,0.0,0.0007,0.0006,0.0,0.0,0.0,
