frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
1,0.968,CRUISE,0.35,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
2,1.947,CRUISE,0.2625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
3,2.259,CRUISE,0.2866,0.4095,0.0,0.0,0.0,0.0026,0.0074,0.0,
4,2.575,CRUISE,0.2988,0.4269,0.0,0.0,0.0,0.0026,0.0073,0.0,
5,2.884,PROBE,0.3506,0.5009,0.0,0.0038,0.0012,0.0024,0.0068,0.0,G1
6,3.195,PROBE,0.3737,0.5339,0.0,0.0113,0.0016,0.0025,0.0072,0.0,
7,3.495,PROBE,0.3668,0.5241,0.0,0.012,0.0016,0.0,0.0,0.0,
8,3.832,PROBE,0.3638,0.5197,0.0,0.0111,0.0016,0.0026,0.0074,0.0,
9,4.163,PROBE,0.3685,0.5264,0.0,0.0102,0.0015,0.0025,0.0071,0.0,
10,4.491,PROBE,0.368,0.5258,0.0,0.0092,0.0015,0.1289,0.3682,0.0,
11,4.85,PROBE,0.3636,0.5194,0.0,0.008,0.0014,0.0,0.0,0.0,
12,5.248,PROBE,0.3696,0.528,0.0,0.0073,0.0013,0.1363,0.3893,0.0,
13,5.554,PROBE,0.366,0.5229,0.0,0.0064,0.0013,0.0,0.0,0.0,
14,5.853,PROBE,0.3627,0.5182,0.0,0.0057,0.0012,0.0,0.0,0.0,
15,6.125,HOLD,0.3597,0.5139,0.0,0.0049,0.0011,0.0,0.0,0.0,G2
16,6.379,HOLD,0.3569,0.5099,0.0,0.0043,0.0011,0.0,0.0,0.0,
17,6.608,HOLD,0.3543,0.5062,0.0,0.0037,0.001,0.0,0.0,0.0,
18,6.818,HOLD,0.2514,0.5028,0.0,0.0014,0.0014,0.0,0.0,0.0,
19,7.06,HOLD,0.3497,0.4996,0.0,0.0013,0.0014,0.0,0.0,0.0,
20,7.249,HOLD,0.3571,0.5101,0.0,0.0013,0.0013,0.2796,0.7989,0.0,
21,7.446,HOLD,0.355,0.5072,0.0,0.0013,0.0013,0.0,0.0,0.0,
22,7.676,HOLD,0.2522,0.5044,0.0,0.0,0.0016,0.0,0.0,0.0,
23,7.868,HOLD,0.3513,0.5018,0.0,0.0001,0.0015,0.0,0.0,0.0,
24,8.037,HOLD,0.3495,0.4993,0.0,0.0002,0.0014,0.0,0.0,0.0,
25,8.21,HOLD,0.3479,0.497,0.0,0.0002,0.0014,0.0,0.0,0.0,
26,8.39,HOLD,0.3535,0.505,0.0,0.0003,0.0013,0.3485,0.9958,0.0,
27,8.577,HOLD,0.352,0.5028,0.0,0.0004,0.0013,0.0,0.0,0.0,
28,8.761,HOLD,0.3505,0.5007,0.0,0.0004,0.0012,0.0,0.0,0.0,
29,8.945,HOLD,0.3491,0.4987,0.0,0.0004,0.0012,0.0,0.0,0.0,
30,9.127,HOLD,0.3478,0.4968,0.0,0.0004,0.0012,0.0,0.0,0.0,
31,9.297,HOLD,0.3478,0.4968,0.0,0.0005,0.0012,0.0,0.0,0.0,
32,9.467,PROBE,0.3478,0.4968,0.0,-0.0001,0.0009,0.0,0.0,0.0,G5
33,9.641,PROBE,0.3465,0.495,0.0,-0.0005,0.0008,0.0,0.0,0.0,
34,9.815,PROBE,0.3484,0.4977,0.0,-0.0008,0.0007,0.3463,0.9895,0.0,
35,10.0,PROBE,0.3427,0.4895,0.0,-0.0008,0.0007,0.0,0.0,0.0,
36,10.21,PROBE,0.34,0.4858,0.0,-0.0007,0.0007,0.0139,0.0398,0.0,
37,10.384,PROBE,0.3444,0.492,0.0,-0.0006,0.0007,0.016,0.0457,0.0,
38,10.574,PROBE,0.3421,0.4888,0.0,-0.0005,0.0007,0.0,0.0,0.0,
39,10.776,PROBE,0.34,0.4857,0.0,-0.0004,0.0007,0.0,0.0,0.0,
40,10.957,PROBE,0.3368,0.4812,0.0,-0.0003,0.0007,0.0,0.0,0.0,
41,11.146,PROBE,0.3777,0.5396,0.0,0.0,0.0007,0.0449,0.1283,0.0,
42,11.329,PROBE,0.4293,0.6133,0.0,0.0007,0.0009,0.0457,0.1305,0.0,
43,11.512,PROBE,0.4391,0.6273,0.0,0.0015,0.0012,0.1158,0.331,0.0,
44,11.705,PROBE,0.4527,0.6467,0.0,0.0022,0.0015,0.2598,0.7423,0.0,
45,11.916,PROBE,0.4607,0.6581,0.0,0.003,0.0019,0.2998,0.8566,0.0,
46,12.13,PROBE,0.4634,0.662,0.0,0.0037,0.0023,0.3148,0.8995,0.0,
47,12.348,PROBE,0.4634,0.662,0.0,0.0043,0.0026,0.0,0.0,0.0,
48,12.586,HOLD,0.4634,0.662,0.0,0.0042,0.0025,0.0,0.0,0.0,G2
49,12.802,HOLD,0.4634,0.662,0.0,0.0046,0.0027,0.0,0.0,0.0,
50,13.012,HOLD,0.4562,0.6518,0.0,0.0051,0.003,0.0,0.0,0.0,
51,13.225,HOLD,0.4562,0.6518,0.0,0.0054,0.0031,0.0,0.0,0.0,
52,13.435,HOLD,0.4547,0.6496,0.0,0.005,0.0027,0.0018,0.0051,0.0,
53,13.633,HOLD,0.4528,0.6469,0.0,0.0052,0.0028,0.0235,0.067,0.0,
54,13.828,HOLD,0.3234,0.6469,0.0,0.0045,0.0029,0.0,0.0,0.0,
55,14.018,HOLD,0.3234,0.6469,0.0,0.0038,0.003,0.0,0.0,0.0,
56,14.222,HOLD,0.323,0.646,0.0,0.0031,0.0031,0.3274,0.9355,0.0,
57,14.427,HOLD,0.323,0.646,0.0,0.0024,0.0032,0.0,0.0,0.0,
58,14.604,HOLD,0.323,0.646,0.0,0.0017,0.0033,0.0,0.0,0.0,
59,14.779,HOLD,0.323,0.646,0.0,0.0011,0.0034,0.0,0.0,0.0,
60,14.969,HOLD,0.4511,0.6445,0.0,0.0013,0.0035,0.3324,0.9498,0.0,
