frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
1,1.033,CRUISE,0.35,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
2,2.464,CRUISE,0.2625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
3,2.753,CRUISE,0.2625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
4,3.034,CRUISE,0.2625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
5,3.409,CRUISE,0.2625,0.375,0.0,-0.0175,0.0012,0.0,0.0,0.0,
6,3.772,CRUISE,0.2625,0.375,0.0,-0.0125,0.0011,0.0,0.0,0.0,
7,4.106,CRUISE,0.2625,0.375,0.0,-0.0094,0.0009,0.0,0.0,0.0,
8,4.455,CRUISE,0.2625,0.375,0.0,-0.0073,0.0008,0.0,0.0,0.0,
9,4.779,CRUISE,0.2625,0.375,0.0,-0.0058,0.0008,0.0,0.0,0.0,
10,5.092,CRUISE,0.2625,0.375,0.0,-0.0048,0.0007,0.0,0.0,0.0,
11,5.417,CRUISE,0.2625,0.375,0.0,-0.004,0.0006,0.0,0.0,0.0,
12,5.722,CRUISE,0.2625,0.375,0.0,-0.0034,0.0006,0.0,0.0,0.0,
13,6.014,CRUISE,0.2625,0.375,0.0,-0.0029,0.0005,0.0,0.0,0.0,
14,6.279,CRUISE,0.2625,0.375,0.0,-0.0025,0.0005,0.0,0.0,0.0,
15,6.543,CRUISE,0.2625,0.375,0.0,-0.0022,0.0005,0.0,0.0,0.0,
16,6.859,CRUISE,0.2625,0.375,0.0,-0.0019,0.0004,0.0,0.0,0.0,
17,7.083,CRUISE,0.2625,0.375,0.0,-0.0017,0.0004,0.0,0.0,0.0,
18,7.283,CRUISE,0.2625,0.375,0.0,-0.0015,0.0004,0.0,0.0,0.0,
19,7.489,CRUISE,0.2625,0.375,0.0,-0.0014,0.0004,0.0,0.0,0.0,
20,7.698,CRUISE,0.2625,0.375,0.0,-0.0013,0.0004,0.0,0.0,0.0,
21,7.903,CRUISE,0.2625,0.375,0.0,-0.0011,0.0003,0.0,0.0,0.0,
22,8.109,CRUISE,0.2625,0.375,0.0,-0.001,0.0003,0.0,0.0,0.0,
23,8.313,CRUISE,0.2625,0.375,0.0,-0.001,0.0003,0.0,0.0,0.0,
24,8.515,CRUISE,0.2625,0.375,0.0,-0.0009,0.0003,0.0,0.0,0.0,
25,8.715,CRUISE,0.2625,0.375,0.0,-0.0008,0.0003,0.0,0.0,0.0,
26,8.92,CRUISE,0.2625,0.375,0.0,-0.0007,0.0003,0.0,0.0,0.0,
27,9.128,CRUISE,0.2625,0.375,0.0,-0.0007,0.0003,0.0,0.0,0.0,
28,9.33,CRUISE,0.2625,0.375,0.0,-0.0006,0.0003,0.0,0.0,0.0,
29,9.535,CRUISE,0.2625,0.375,0.0,-0.0006,0.0003,0.0,0.0,0.0,
30,9.744,CRUISE,0.2625,0.375,0.0,-0.0006,0.0002,0.0,0.0,0.0,
31,9.967,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
32,10.179,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
33,10.423,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
34,10.648,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
35,10.871,CRUISE,0.1312,0.375,0.0,-0.0008,0.0006,0.0,0.0,0.0,
36,11.074,CRUISE,0.1312,0.375,0.0,-0.0016,0.0011,0.0,0.0,0.0,
37,11.276,CRUISE,0.1312,0.375,0.0,-0.0024,0.0016,0.0,0.0,0.0,
38,11.497,CRUISE,0.1312,0.375,0.0,-0.003,0.002,0.0,0.0,0.0,
39,11.713,CRUISE,0.1312,0.375,0.0,-0.0036,0.0024,0.0,0.0,0.0,
40,11.916,CRUISE,0.1312,0.375,0.0,-0.0042,0.0028,0.0,0.0,0.0,
41,12.126,CRUISE,0.1312,0.375,0.0,-0.0047,0.0031,0.0,0.0,0.0,
42,12.325,CRUISE,0.1312,0.375,0.0,-0.0051,0.0034,0.0,0.0,0.0,
43,12.531,CRUISE,0.1312,0.375,0.0,-0.0055,0.0036,0.0,0.0,0.0,
44,12.747,CRUISE,0.1312,0.375,0.0,-0.0058,0.0038,0.0,0.0,0.0,
45,12.953,CRUISE,0.1312,0.375,0.0,-0.0061,0.004,0.0,0.0,0.0,
46,13.167,CRUISE,0.1312,0.375,0.0,-0.0063,0.0041,0.0,0.0,0.0,
47,13.377,CRUISE,0.1312,0.375,0.0,-0.0065,0.0042,0.0,0.0,0.0,
48,13.598,CRUISE,0.1312,0.375,0.0,-0.0065,0.0043,0.0,0.0,0.0,
49,13.802,CRUISE,0.1312,0.375,0.0,-0.0066,0.0043,0.0,0.0,0.0,
50,14.019,CRUISE,0.1312,0.375,0.0,-0.0065,0.0043,0.0,0.0,0.0,
51,14.229,CRUISE,0.1312,0.375,0.0,-0.0065,0.0042,0.0,0.0,0.0,
52,14.427,CRUISE,0.1312,0.375,0.0,-0.0063,0.0041,0.0,0.0,0.0,
53,14.635,CRUISE,0.1312,0.375,0.0,-0.0061,0.004,0.0,0.0,0.0,
