scenario,policy,trial,hqm,S,E,B,R,unsafe_commits,decision_latency_ms,resolution,n_transitions
pedestrian_curb,risk_threshold,7,0.5812,0.0309,1.0,0.8445,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,7,0.5812,0.0309,1.0,0.8445,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,8,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,8,0.7421,0.5026,1.0,0.7052,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,8,0.4345,-0.2442,1.0,0.6611,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,8,0.3838,-0.4498,1.0,0.8185,1.0,0,1232.5,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,8,0.5795,0.0269,1.0,0.8439,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,8,0.5795,0.0269,1.0,0.8439,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,9,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,9,0.7482,0.5157,1.0,0.7096,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,9,0.4349,-0.2419,1.0,0.6586,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,9,0.547,0.0734,1.0,0.588,1.0,0,2866.7,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,9,0.5739,0.0126,1.0,0.844,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,9,0.5739,0.0126,1.0,0.844,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,10,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,10,0.7452,0.5174,1.0,0.691,1.0,0,1933.3,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,10,0.4347,-0.2421,1.0,0.658,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,10,0.5382,0.0516,1.0,0.588,1.0,0,2909.2,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,10,0.5764,0.0189,1.0,0.8441,1.0,0,0.0,RISK_THRESHOLD,1
