param,perturbation,scenario,hqm_mean,hqm_std
baseline,0.0,pedestrian_curb,0.6403933333333334,0.004307894561796464
baseline,0.0,merge_hesitation,0.63175,0.0038833619455312246
baseline,0.0,occluded_intersection,0.7833833333333334,0.012861909742422477
tau_l,-20.0,pedestrian_curb,0.6393900000000001,0.004953204350047889
tau_l,-20.0,merge_hesitation,0.6317966666666666,0.0027252502433517917
tau_l,-20.0,occluded_intersection,0.7843533333333335,0.009056442764990876
tau_l,-10.0,pedestrian_curb,0.6404700000000001,0.006551038085677715
tau_l,-10.0,merge_hesitation,0.6306799999999999,0.0053481710269337275
tau_l,-10.0,occluded_intersection,0.7854066666666666,0.006539364563081717
tau_l,10.0,pedestrian_curb,0.6404299999999999,0.006146172250542066
tau_l,10.0,merge_hesitation,0.6336433333333333,0.0021628196616659706
tau_l,10.0,occluded_intersection,0.7630033333333333,0.11673255325267622
tau_l,20.0,pedestrian_curb,0.6420233333333333,0.004937386848211202
tau_l,20.0,merge_hesitation,0.6315899999999999,0.00333749906367029
tau_l,20.0,occluded_intersection,0.7850266666666665,0.00928984870107629
rho_c,-20.0,pedestrian_curb,0.6407166666666666,0.004002589439628074
rho_c,-20.0,merge_hesitation,0.6316933333333333,0.0033151101875436278
rho_c,-20.0,occluded_intersection,0.7854266666666666,0.009492064521951431
rho_c,-10.0,pedestrian_curb,0.64091,0.00466307123399733
rho_c,-10.0,merge_hesitation,0.63116,0.00412654819431447
rho_c,-10.0,occluded_intersection,0.7846566666666667,0.011203501932679612
rho_c,10.0,pedestrian_curb,0.6400000000000001,0.004397954069791998
rho_c,10.0,merge_hesitation,0.6309199999999999,0.003792308004368837
rho_c,10.0,occluded_intersection,0.7841766666666666,0.010918628831293591
rho_c,20.0,pedestrian_curb,0.6397333333333334,0.004804396135022824
rho_c,20.0,merge_hesitation,0.6310533333333334,0.0036998858841261065
rho_c,20.0,occluded_intersection,0.7844700000000001,0.009587184153858726
sigma_s,-20.0,pedestrian_curb,0.6408999999999999,0.005266118114892604
sigma_s,-20.0,merge_hesitation,0.6234,0.007139514455946334
sigma_s,-20.0,occluded_intersection,0.7877566666666668,0.0030498834221800806
sigma_s,-10.0,pedestrian_curb,0.6398,0.006051666437161476
sigma_s,-10.0,merge_hesitation,0.6296166666666667,0.005728006246117018
sigma_s,-10.0,occluded_intersection,0.7869666666666666,0.0027987298706536284
sigma_s,10.0,pedestrian_curb,0.63987,0.00482667242172769
sigma_s,10.0,merge_hesitation,0.6316499999999999,0.004314452456569656
sigma_s,10.0,occluded_intersection,0.7746833333333335,0.016499173379967317
sigma_s,20.0,pedestrian_curb,0.6406966666666667,0.00571439605052207
sigma_s,20.0,merge_hesitation,0.6309199999999999,0.00438196303042369
sigma_s,20.0,occluded_intersection,0.7697866666666667,0.016045990845760277
