config_idx,mean_hqm,beats_greedy,tau_low,tau_high,rho_commit,sigma_stable
109,0.6746,True,0.349636,0.727995,0.388053,0.032388
110,0.6828,True,0.212086,0.632489,0.650114,0.04903
111,0.6745,True,0.460245,0.868692,0.757667,0.05574
112,0.6642,True,0.485276,0.730639,0.551761,0.058192
113,0.6843,True,0.255167,0.588951,0.330405,0.069817
114,0.6776,True,0.35708,0.787704,0.623915,0.055494
115,0.6891,True,0.462409,0.417457,0.4326,0.06154
116,0.6841,True,0.406769,0.693978,0.53339,0.038466
117,0.6884,True,0.324158,0.491435,0.348966,0.0302
118,0.6733,True,0.440555,0.881651,0.418588,0.059564
119,0.6718,True,0.384445,0.751146,0.751028,0.034279
120,0.6681,True,0.489654,0.746299,0.706099,0.064207
121,0.6548,True,0.217274,0.725798,0.650436,0.04898
122,0.684,True,0.426568,0.551302,0.639719,0.049527
123,0.6774,True,0.481605,0.733718,0.500125,0.031977
124,0.6853,True,0.487582,0.58511,0.371281,0.051201
125,0.6737,True,0.45748,0.809436,0.333499,0.069632
126,0.6823,True,0.338218,0.623827,0.423339,0.038904
127,0.691,True,0.291915,0.42199,0.567202,0.03228
128,0.6754,True,0.389692,0.909237,0.596651,0.044333
129,0.6836,True,0.379599,0.553003,0.544182,0.033305
130,0.6687,True,0.273132,0.744897,0.549746,0.034643
131,0.6869,True,0.212723,0.488838,0.342508,0.038215
132,0.6843,True,0.478689,0.629281,0.612486,0.04401
133,0.642,True,0.422886,0.740999,0.445638,0.063183
134,0.6589,True,0.240854,0.724956,0.583104,0.030818
135,0.6797,True,0.38501,0.754989,0.474076,0.054014
136,0.6855,True,0.404178,0.59727,0.406661,0.050794
137,0.6702,True,0.342753,0.779816,0.475959,0.064571
138,0.6873,True,0.296124,0.467966,0.435614,0.067856
139,0.6823,True,0.373705,0.797022,0.586221,0.03012
140,0.6667,True,0.332543,0.717955,0.751099,0.059634
141,0.6836,True,0.407059,0.636073,0.59146,0.060857
142,0.6857,True,0.340809,0.619174,0.519776,0.051324
143,0.6685,True,0.317483,0.737268,0.503675,0.057417
144,0.6697,True,0.399899,0.71356,0.67001,0.061141
145,0.6853,True,0.376272,0.761792,0.663966,0.031898
146,0.6899,True,0.448111,0.42192,0.45684,0.042478
147,0.6889,True,0.28003,0.411439,0.710374,0.05084
148,0.6707,True,0.326545,0.82901,0.461218,0.063323
149,0.6823,True,0.264404,0.590503,0.716725,0.041589
150,0.6827,True,0.217557,0.608142,0.466336,0.063908
151,0.6803,True,0.299328,0.765864,0.407935,0.038088
152,0.6866,True,0.234363,0.508201,0.480653,0.045617
153,0.6896,True,0.41559,0.413142,0.390804,0.035611
154,0.6811,True,0.386521,0.854071,0.396198,0.062878
155,0.6826,True,0.381645,0.626082,0.578353,0.035878
156,0.6769,True,0.36431,0.677274,0.670745,0.064865
157,0.6823,True,0.367409,0.601943,0.466126,0.036959
158,0.6788,True,0.297113,0.864122,0.63674,0.042611
159,0.6848,True,0.373351,0.551123,0.352221,0.067607
160,0.6861,True,0.408313,0.495917,0.357141,0.047498
161,0.6813,True,0.313201,0.869773,0.597668,0.066752
162,0.6861,True,0.395857,0.524584,0.516914,0.030951
163,0.6852,True,0.243879,0.529948,0.683494,0.041821
164,0.6678,True,0.359966,0.749177,0.394113,0.042169
165,0.6855,True,0.2971,0.496324,0.525186,0.052305
166,0.6773,True,0.347328,0.750362,0.387063,0.035181
167,0.6877,True,0.437147,0.467712,0.696753,0.039931
168,0.6703,True,0.262901,0.86731,0.604514,0.033577
169,0.6778,True,0.337666,0.763136,0.392365,0.06895
170,0.6793,True,0.360054,0.861353,0.515493,0.068967
171,0.6844,True,0.255187,0.568446,0.589566,0.043126
172,0.679,True,0.2467,0.654706,0.581227,0.055608
173,0.6834,True,0.404401,0.519307,0.488977,0.0572
174,0.6707,True,0.327192,0.863653,0.53603,0.068874
175,0.6579,True,0.453496,0.734441,0.736333,0.060327
176,0.6596,True,0.235951,0.746661,0.358159,0.06009
177,0.6836,True,0.361565,0.530315,0.371893,0.056718
178,0.6843,True,0.442633,0.591987,0.584712,0.0344
179,0.6672,True,0.338136,0.758249,0.523834,0.053579
180,0.687,True,0.357685,0.44497,0.590145,0.056921
181,0.6788,True,0.270434,0.761086,0.580971,0.065479
182,0.6868,True,0.453028,0.468749,0.673581,0.050893
183,0.6804,True,0.211445,0.615652,0.347509,0.044258
184,0.6851,True,0.419304,0.785776,0.419641,0.043887
185,0.6846,True,0.395457,0.572894,0.447623,0.068681
186,0.6789,True,0.23586,0.680818,0.435903,0.050528
187,0.6905,True,0.288146,0.40286,0.509745,0.061143
188,0.6653,True,0.256634,0.527568,0.340041,0.056266
189,0.673,True,0.296071,0.899384,0.632814,0.063111
190,0.6593,True,0.243791,0.721709,0.505749,0.054287
191,0.6753,True,0.264857,0.823465,0.573082,0.04145
192,0.6697,True,0.24593,0.75674,0.440166,0.056714
193,0.6623,True,0.272421,0.734111,0.400951,0.054067
194,0.6854,True,0.282323,0.490426,0.458504,0.066518
195,0.6675,True,0.263914,0.816643,0.572424,0.036481
196,0.6812,True,0.33152,0.658964,0.745143,0.033334
197,0.6829,True,0.222692,0.596359,0.342717,0.048034
198,0.6521,True,0.479776,0.747587,0.61824,0.050184
199,0.6713,True,0.248468,0.89546,0.561039,0.035646
200,0.6831,True,0.463592,0.564631,0.489748,0.044672
201,0.6865,True,0.463349,0.471144,0.5041,0.05189
202,0.6757,True,0.302964,0.813228,0.760463,0.041201
203,0.6858,True,0.39584,0.634359,0.397871,0.043445
204,0.6778,True,0.384532,0.884591,0.348648,0.059951
205,0.6883,True,0.479373,0.439788,0.680489,0.052211
206,0.686,True,0.251241,0.563707,0.589038,0.058342
207,0.685,True,0.443837,0.549986,0.726283,0.065474
208,0.6838,True,0.346989,0.551276,0.634976,0.040335
209,0.687,True,0.287698,0.441995,0.580239,0.062392
210,0.6867,True,0.431586,0.63727,0.667075,0.048619
211,0.6855,True,0.212243,0.578598,0.641084,0.063553
212,0.6886,True,0.25573,0.452458,0.361863,0.038289
213,0.6822,True,0.437901,0.623958,0.450981,0.041094
214,0.6881,True,0.409276,0.422642,0.549266,0.065703
215,0.6803,True,0.265161,0.825571,0.623412,0.048895
216,0.6713,True,0.385892,0.884875,0.529944,0.043758
217,0.6804,True,0.427475,0.819348,0.726713,0.035908
218,0.6808,True,0.438033,0.675655,0.497584,0.037404
219,0.6769,True,0.422071,0.741599,0.418393,0.037906
220,0.6869,True,0.23641,0.485852,0.418752,0.066232
221,0.6833,True,0.305089,0.549539,0.585979,0.039376
222,0.6811,True,0.40659,0.67675,0.38332,0.061367
223,0.6876,True,0.221799,0.463317,0.349975,0.038228
224,0.6744,True,0.402418,0.768751,0.659276,0.058309
225,0.6641,True,0.234492,0.70315,0.334637,0.050855
226,0.678,True,0.404191,0.896895,0.495933,0.040736
227,0.6802,True,0.461206,0.67885,0.404735,0.036292
228,0.6764,True,0.322289,0.853481,0.380437,0.046021
229,0.6643,True,0.332572,0.706828,0.461228,0.05833
230,0.6799,True,0.441692,0.660381,0.47021,0.056956
231,0.6864,True,0.455673,0.533141,0.391174,0.042325
232,0.6796,True,0.386898,0.671093,0.360016,0.062587
233,0.6836,True,0.262609,0.597547,0.623634,0.066397
234,0.6879,True,0.484559,0.465085,0.541622,0.035449
235,0.6772,True,0.393685,0.886648,0.425394,0.056973
236,0.6832,True,0.418829,0.585345,0.659282,0.041064
237,0.6843,True,0.407928,0.769588,0.466701,0.05894
238,0.6814,True,0.374995,0.663145,0.689236,0.037496
239,0.6695,True,0.480296,0.796189,0.528991,0.043545
