scenario,trial,offset_s,t_actual,t_cf,hqm,S,E,B,R,risk_at_commit,risk_at_greedy,t_commit
merge_hesitation,6,1.5,5.667,7.167,0.26,0.0,0.4401,0.0,1.0,0.0,0.0,7.167
merge_hesitation,6,2.0,5.667,7.667,0.2534,0.0,0.4134,0.0,1.0,0.0,0.0,7.667
merge_hesitation,7,-2.0,5.7,3.7,0.3201,0.0029,0.6759,0.0,1.0,0.0019,0.0048,3.7
merge_hesitation,7,-1.5,5.7,4.2,0.3107,0.0048,0.635,0.0,1.0,0.0,0.0048,4.2
merge_hesitation,7,-1.0,5.7,4.7,0.299,-0.0004,0.5965,0.0,1.0,0.0052,0.0048,4.7
merge_hesitation,7,-0.5,5.7,5.2,0.2875,-0.0066,0.5604,0.0,1.0,0.0114,0.0048,5.2
merge_hesitation,7,0.0,5.7,5.7,0.2836,0.0048,0.5264,0.0005,1.0,0.0,0.0048,5.7
merge_hesitation,7,0.5,5.7,6.2,0.2756,0.0048,0.4945,0.0,1.0,0.0,0.0048,6.2
merge_hesitation,7,1.0,5.7,6.7,0.2681,0.0048,0.4646,0.0,1.0,0.0,0.0048,6.7
merge_hesitation,7,1.5,5.7,7.2,0.261,0.0048,0.4364,0.0,1.0,0.0,0.0048,7.2
merge_hesitation,7,2.0,5.7,7.7,0.2544,0.0048,0.41,0.0,1.0,0.0,0.0048,7.7
merge_hesitation,8,-2.0,5.667,3.667,0.319,0.0,0.6759,0.0,1.0,0.0,0.0,3.667
merge_hesitation,8,-1.5,5.667,4.167,0.3079,-0.0022,0.635,0.0,1.0,0.0022,0.0,4.167
merge_hesitation,8,-1.0,5.667,4.667,0.2935,-0.014,0.5965,0.0,1.0,0.014,0.0,4.667
merge_hesitation,8,-0.5,5.667,5.167,0.2901,0.0,0.5604,0.0,1.0,0.0,0.0,5.167
merge_hesitation,8,0.0,5.667,5.667,0.2838,0.0,0.5264,0.0111,1.0,0.0,0.0,5.667
merge_hesitation,8,0.5,5.667,6.167,0.2723,-0.0034,0.4945,0.0,1.0,0.0034,0.0,6.167
merge_hesitation,8,1.0,5.667,6.667,0.2653,-0.0021,0.4646,0.0,1.0,0.0021,0.0,6.667
merge_hesitation,8,1.5,5.667,7.167,0.2591,0.0,0.4364,0.0,1.0,0.0,0.0,7.167
merge_hesitation,8,2.0,5.667,7.667,0.2525,0.0,0.41,0.0,1.0,0.0,0.0,7.667
merge_hesitation,9,-2.0,5.667,3.667,0.319,0.0,0.6759,0.0,1.0,0.0,0.0,3.667
merge_hesitation,9,-1.5,5.667,4.167,0.3087,0.0,0.635,0.0,1.0,0.0,0.0,4.167
merge_hesitation,9,-1.0,5.667,4.667,0.2863,-0.032,0.5965,0.0,1.0,0.032,0.0,4.667
merge_hesitation,9,-0.5,5.667,5.167,0.2901,0.0,0.5604,0.0,1.0,0.0,0.0,5.167
merge_hesitation,9,0.0,5.667,5.667,0.2827,0.0,0.5264,0.0054,1.0,0.0,0.0,5.667
merge_hesitation,9,0.5,5.667,6.167,0.265,-0.0216,0.4945,0.0,1.0,0.0216,0.0,6.167
merge_hesitation,9,1.0,5.667,6.667,0.2661,0.0,0.4646,0.0,1.0,0.0,0.0,6.667
merge_hesitation,9,1.5,5.667,7.167,0.2591,0.0,0.4364,0.0,1.0,0.0,0.0,7.167
merge_hesitation,9,2.0,5.667,7.667,0.2405,-0.0299,0.41,0.0,1.0,0.0299,0.0,7.667
merge_hesitation,10,-2.0,5.7,3.7,0.3176,0.0,0.6703,0.0,1.0,0.0,0.0,3.7
merge_hesitation,10,-1.5,5.7,4.2,0.2972,-0.0257,0.6297,0.0,1.0,0.0257,0.0,4.2
merge_hesitation,10,-1.0,5.7,4.7,0.2956,-0.0058,0.5916,0.0,1.0,0.0058,0.0,4.7
merge_hesitation,10,-0.5,5.7,5.2,0.2889,0.0,0.5557,0.0,1.0,0.0,0.0,5.2
merge_hesitation,10,0.0,5.7,5.7,0.2723,-0.0205,0.522,0.0,1.0,0.0205,0.0,5.7
merge_hesitation,10,0.5,5.7,6.2,0.2685,-0.0102,0.4904,0.0,1.0,0.0102,0.0,6.2
merge_hesitation,10,1.0,5.7,6.7,0.2612,-0.0098,0.4607,0.0,1.0,0.0098,0.0,6.7
merge_hesitation,10,1.5,5.7,7.2,0.2582,0.0,0.4328,0.0,1.0,0.0,0.0,7.2
merge_hesitation,10,2.0,5.7,7.7,0.2369,-0.0369,0.4066,0.0,1.0,0.0369,0.0,7.7
merge_hesitation,11,-2.0,5.667,3.667,0.3137,-0.0114,0.6731,0.0,1.0,0.0203,0.0089,3.667
merge_hesitation,11,-1.5,5.667,4.167,0.3043,-0.0096,0.6323,0.0,1.0,0.0184,0.0089,4.167
merge_hesitation,11,-1.0,5.667,4.667,0.3014,0.0074,0.594,0.0,1.0,0.0015,0.0089,4.667
merge_hesitation,11,-0.5,5.667,5.167,0.2931,0.0089,0.558,0.0,1.0,0.0,0.0089,5.167
merge_hesitation,11,0.0,5.667,5.667,0.2841,0.006,0.5242,0.0033,1.0,0.0029,0.0089,5.667
merge_hesitation,11,0.5,5.667,6.167,0.2625,-0.0266,0.4925,0.0,1.0,0.0355,0.0089,6.167
merge_hesitation,11,1.0,5.667,6.667,0.2679,0.0055,0.4626,0.0,1.0,0.0034,0.0089,6.667
merge_hesitation,11,1.5,5.667,7.167,0.2622,0.0089,0.4346,0.0,1.0,0.0,0.0089,7.167
merge_hesitation,11,2.0,5.667,7.667,0.2556,0.0089,0.4083,0.0,1.0,0.0,0.0089,7.667
merge_hesitation,12,-2.0,5.667,3.667,0.3183,0.0,0.6731,0.0,1.0,0.0,0.0,3.667
merge_hesitation,12,-1.5,5.667,4.167,0.3081,0.0,0.6323,0.0,1.0,0.0,0.0,4.167
merge_hesitation,12,-1.0,5.667,4.667,0.2979,-0.0014,0.594,0.0,1.0,0.0014,0.0,4.667
merge_hesitation,12,-0.5,5.667,5.167,0.2895,0.0,0.558,0.0,1.0,0.0,0.0,5.167
merge_hesitation,12,0.0,5.667,5.667,0.2841,0.0,0.5242,0.0151,1.0,0.0,0.0,5.667
merge_hesitation,12,0.5,5.667,6.167,0.2717,-0.0035,0.4925,0.0,1.0,0.0035,0.0,6.167
merge_hesitation,12,1.0,5.667,6.667,0.2657,0.0,0.4626,0.0,1.0,0.0,0.0,6.667
merge_hesitation,12,1.5,5.667,7.167,0.2586,0.0,0.4346,0.0,1.0,0.0,0.0,7.167
merge_hesitation,12,2.0,5.667,7.667,0.2521,0.0,0.4083,0.0,1.0,0.0,0.0,7.667
merge_hesitation,13,-2.0,5.633,3.633,0.321,0.0051,0.6759,0.0,1.0,0.0,0.0051,3.633
merge_hesitation,13,-1.5,5.633,4.133,0.3084,-0.0008,0.635,0.0,1.0,0.0059,0.0051,4.133
merge_hesitation,13,-1.0,5.633,4.633,0.3012,0.0051,0.5965,0.0,1.0,0.0,0.0051,4.633
merge_hesitation,13,-0.5,5.633,5.133,0.2879,-0.0055,0.5604,0.0,1.0,0.0106,0.0051,5.133
merge_hesitation,13,0.0,5.633,5.633,0.2802,-0.0073,0.5264,0.0079,1.0,0.0124,0.0051,5.633
merge_hesitation,13,0.5,5.633,6.133,0.2755,0.0046,0.4945,0.0,1.0,0.0005,0.0051,6.133
merge_hesitation,13,1.0,5.633,6.633,0.2682,0.0051,0.4646,0.0,1.0,0.0,0.0051,6.633
merge_hesitation,13,1.5,5.633,7.133,0.2611,0.0051,0.4364,0.0,1.0,0.0,0.0051,7.133
merge_hesitation,13,2.0,5.633,7.633,0.2508,-0.0043,0.41,0.0,1.0,0.0094,0.0051,7.633
merge_hesitation,14,-2.0,5.633,3.633,0.3204,0.0,0.6816,0.0,1.0,0.0,0.0,3.633
merge_hesitation,14,-1.5,5.633,4.133,0.3026,-0.0187,0.6403,0.0,1.0,0.0187,0.0,4.133
merge_hesitation,14,-1.0,5.633,4.633,0.292,-0.0209,0.6015,0.0,1.0,0.0209,0.0,4.633
merge_hesitation,14,-0.5,5.633,5.133,0.2859,-0.0133,0.5651,0.0,1.0,0.0133,0.0,5.133
merge_hesitation,14,0.0,5.633,5.633,0.2857,0.0,0.5308,0.0152,1.0,0.0,0.0,5.633
merge_hesitation,14,0.5,5.633,6.133,0.2737,-0.0024,0.4987,0.0,1.0,0.0024,0.0,6.133
merge_hesitation,14,1.0,5.633,6.633,0.2592,-0.0198,0.4684,0.0,1.0,0.0198,0.0,6.633
merge_hesitation,14,1.5,5.633,7.133,0.257,-0.0075,0.4401,0.0,1.0,0.0075,0.0,7.133
merge_hesitation,14,2.0,5.633,7.633,0.2534,0.0,0.4134,0.0,1.0,0.0,0.0,7.633
merge_hesitation,15,-2.0,5.7,3.7,0.3183,0.0,0.6731,0.0,1.0,0.0,0.0,3.7
merge_hesitation,15,-1.5,5.7,4.2,0.3025,-0.014,0.6323,0.0,1.0,0.014,0.0,4.2
merge_hesitation,15,-1.0,5.7,4.7,0.2985,0.0,0.594,0.0,1.0,0.0,0.0,4.7
merge_hesitation,15,-0.5,5.7,5.2,0.2895,0.0,0.558,0.0,1.0,0.0,0.0,5.2
merge_hesitation,15,0.0,5.7,5.7,0.285,0.0,0.5242,0.0198,1.0,0.0,0.0,5.7
merge_hesitation,15,0.5,5.7,6.2,0.2731,0.0,0.4925,0.0,1.0,0.0,0.0,6.2
merge_hesitation,15,1.0,5.7,6.7,0.2651,-0.0014,0.4626,0.0,1.0,0.0014,0.0,6.7
merge_hesitation,15,1.5,5.7,7.2,0.2565,-0.0053,0.4346,0.0,1.0,0.0053,0.0,7.2
merge_hesitation,15,2.0,5.7,7.7,0.2518,-0.0007,0.4083,0.0,1.0,0.0007,0.0,7.7
merge_hesitation,16,-2.0,5.667,3.667,0.3238,0.0139,0.6731,0.0,1.0,0.0,0.0139,3.667
merge_hesitation,16,-1.5,5.667,4.167,0.3113,0.0082,0.6323,0.0,1.0,0.0057,0.0139,4.167
merge_hesitation,16,-1.0,5.667,4.667,0.3041,0.0139,0.594,0.0,1.0,0.0,0.0139,4.667
merge_hesitation,16,-0.5,5.667,5.167,0.2865,-0.0076,0.558,0.0,1.0,0.0215,0.0139,5.167
merge_hesitation,16,0.0,5.667,5.667,0.2872,0.0139,0.5242,0.0029,1.0,0.0,0.0139,5.667
merge_hesitation,16,0.5,5.667,6.167,0.2787,0.0139,0.4925,0.0,1.0,0.0,0.0139,6.167
merge_hesitation,16,1.0,5.667,6.667,0.2624,-0.0081,0.4626,0.0,1.0,0.0219,0.0139,6.667
merge_hesitation,16,1.5,5.667,7.167,0.2532,-0.0136,0.4346,0.0,1.0,0.0275,0.0139,7.167
merge_hesitation,16,2.0,5.667,7.667,0.2576,0.0139,0.4083,0.0,1.0,0.0,0.0139,7.667
merge_hesitation,17,-2.0,5.7,3.7,0.3131,-0.0147,0.6759,0.0,1.0,0.0147,0.0,3.7
merge_hesitation,17,-1.5,5.7,4.2,0.3029,-0.0146,0.635,0.0,1.0,0.0146,0.0,4.2
merge_hesitation,17,-1.0,5.7,4.7,0.297,-0.0054,0.5965,0.0,1.0,0.0054,0.0,4.7
merge_hesitation,17,-0.5,5.7,5.2,0.2879,-0.0054,0.5604,0.0,1.0,0.0054,0.0,5.2
merge_hesitation,17,0.0,5.7,5.7,0.276,-0.0191,0.5264,0.0104,1.0,0.0191,0.0,5.7
merge_hesitation,17,0.5,5.7,6.2,0.2736,0.0,0.4945,0.0,1.0,0.0,0.0,6.2
merge_hesitation,17,1.0,5.7,6.7,0.2617,-0.0111,0.4646,0.0,1.0,0.0111,0.0,6.7
merge_hesitation,17,1.5,5.7,7.2,0.2539,-0.013,0.4364,0.0,1.0,0.013,0.0,7.2
merge_hesitation,17,2.0,5.7,7.7,0.2452,-0.0181,0.41,0.0,1.0,0.0181,0.0,7.7
merge_hesitation,18,-2.0,5.633,3.633,0.3237,0.0065,0.6844,0.0,1.0,0.0027,0.0092,3.633
merge_hesitation,18,-1.5,5.633,4.133,0.3066,-0.0104,0.643,0.0,1.0,0.0196,0.0092,4.133
merge_hesitation,18,-1.0,5.633,4.633,0.3029,0.0048,0.604,0.0,1.0,0.0045,0.0092,4.633
merge_hesitation,18,-0.5,5.633,5.133,0.2955,0.0092,0.5674,0.0,1.0,0.0,0.0092,5.133
merge_hesitation,18,0.0,5.633,5.633,0.2809,-0.0124,0.533,0.0129,1.0,0.0216,0.0092,5.633
merge_hesitation,18,0.5,5.633,6.133,0.2765,0.0033,0.5007,0.0,1.0,0.0059,0.0092,6.133
merge_hesitation,18,1.0,5.633,6.633,0.2593,-0.0208,0.4704,0.0,1.0,0.03,0.0092,6.633
merge_hesitation,18,1.5,5.633,7.133,0.2572,-0.0082,0.4419,0.0,1.0,0.0174,0.0092,7.133
merge_hesitation,18,2.0,5.633,7.633,0.2461,-0.0192,0.4151,0.0,1.0,0.0285,0.0092,7.633
merge_hesitation,19,-2.0,5.633,3.633,0.3129,-0.017,0.6788,0.0,1.0,0.017,0.0,3.633
merge_hesitation,19,-1.5,5.633,4.133,0.3094,0.0,0.6376,0.0,1.0,0.0,0.0,4.133
merge_hesitation,19,-1.0,5.633,4.633,0.2997,0.0,0.599,0.0,1.0,0.0,0.0,4.633
merge_hesitation,19,-0.5,5.633,5.133,0.2866,-0.0103,0.5627,0.0,1.0,0.0103,0.0,5.133
merge_hesitation,19,0.0,5.633,5.633,0.2814,-0.0109,0.5286,0.018,1.0,0.0109,0.0,5.633
merge_hesitation,19,0.5,5.633,6.133,0.2741,0.0,0.4966,0.0,1.0,0.0,0.0,6.133
merge_hesitation,19,1.0,5.633,6.633,0.2666,0.0,0.4665,0.0,1.0,0.0,0.0,6.633
merge_hesitation,19,1.5,5.633,7.133,0.2596,0.0,0.4382,0.0,1.0,0.0,0.0,7.133
merge_hesitation,19,2.0,5.633,7.633,0.2529,0.0,0.4117,0.0,1.0,0.0,0.0,7.633
merge_hesitation,20,-2.0,6.1,4.1,0.3128,0.0,0.6511,0.0,1.0,0.0,0.0,4.1
merge_hesitation,20,-1.5,6.1,4.6,0.3029,0.0,0.6116,0.0,1.0,0.0,0.0,4.6
merge_hesitation,20,-1.0,6.1,5.1,0.2929,-0.0019,0.5746,0.0,1.0,0.0019,0.0,5.1
merge_hesitation,20,-0.5,6.1,5.6,0.2745,-0.0301,0.5397,0.0079,1.0,0.0301,0.0,5.6
merge_hesitation,20,0.0,6.1,6.1,0.2768,0.0,0.507,0.0,1.0,0.0,0.0,6.1
merge_hesitation,20,0.5,6.1,6.6,0.2691,0.0,0.4763,0.0,1.0,0.0,0.0,6.6
merge_hesitation,20,1.0,6.1,7.1,0.2543,-0.0188,0.4475,0.0,1.0,0.0188,0.0,7.1
merge_hesitation,20,1.5,6.1,7.6,0.2503,-0.012,0.4204,0.0,1.0,0.012,0.0,7.6
merge_hesitation,20,2.0,6.1,8.1,0.2504,0.0,0.4015,0.0,1.0,0.0,0.0,7.967
merge_hesitation,21,-2.0,5.667,3.667,0.3202,0.0048,0.6731,0.0,1.0,0.0,0.0048,3.667
merge_hesitation,21,-1.5,5.667,4.167,0.31,0.0048,0.6323,0.0,1.0,0.0,0.0048,4.167
merge_hesitation,21,-1.0,5.667,4.667,0.2901,-0.0211,0.594,0.0,1.0,0.0259,0.0048,4.667
merge_hesitation,21,-0.5,5.667,5.167,0.2872,-0.0057,0.558,0.0,1.0,0.0105,0.0048,5.167
merge_hesitation,21,0.0,5.667,5.667,0.2855,0.0048,0.5242,0.0127,1.0,0.0,0.0048,5.667
merge_hesitation,21,0.5,5.667,6.167,0.275,0.0048,0.4925,0.0,1.0,0.0,0.0048,6.167
merge_hesitation,21,1.0,5.667,6.667,0.2676,0.0048,0.4626,0.0,1.0,0.0,0.0048,6.667
merge_hesitation,21,1.5,5.667,7.167,0.2606,0.0048,0.4346,0.0,1.0,0.0,0.0048,7.167
merge_hesitation,21,2.0,5.667,7.667,0.2513,-0.002,0.4083,0.0,1.0,0.0068,0.0048,7.667
merge_hesitation,22,-2.0,5.633,3.633,0.319,0.0,0.6759,0.0,1.0,0.0,0.0,3.633
merge_hesitation,22,-1.5,5.633,4.133,0.3087,0.0,0.635,0.0,1.0,0.0,0.0,4.133
merge_hesitation,22,-1.0,5.633,4.633,0.2847,-0.0361,0.5965,0.0,1.0,0.0361,0.0,4.633
merge_hesitation,22,-0.5,5.633,5.133,0.2901,0.0,0.5604,0.0,1.0,0.0,0.0,5.133
merge_hesitation,22,0.0,5.633,5.633,0.2841,-0.003,0.5264,0.0184,1.0,0.003,0.0,5.633
merge_hesitation,22,0.5,5.633,6.133,0.2655,-0.0204,0.4945,0.0,1.0,0.0204,0.0,6.133
merge_hesitation,22,1.0,5.633,6.633,0.2657,-0.0012,0.4646,0.0,1.0,0.0012,0.0,6.633
merge_hesitation,22,1.5,5.633,7.133,0.2531,-0.0149,0.4364,0.0,1.0,0.0149,0.0,7.133
merge_hesitation,22,2.0,5.633,7.633,0.2525,0.0,0.41,0.0,1.0,0.0,0.0,7.633
merge_hesitation,23,-2.0,5.633,3.633,0.3186,-0.0009,0.6759,0.0,1.0,0.0009,0.0,3.633
merge_hesitation,23,-1.5,5.633,4.133,0.3087,0.0,0.635,0.0,1.0,0.0,0.0,4.133
merge_hesitation,23,-1.0,5.633,4.633,0.2991,0.0,0.5965,0.0,1.0,0.0,0.0,4.633
merge_hesitation,23,-0.5,5.633,5.133,0.2729,-0.043,0.5604,0.0,1.0,0.043,0.0,5.133
merge_hesitation,23,0.0,5.633,5.633,0.2789,-0.0083,0.5264,0.0031,1.0,0.0083,0.0,5.633
merge_hesitation,23,0.5,5.633,6.133,0.2736,0.0,0.4945,0.0,1.0,0.0,0.0,6.133
merge_hesitation,23,1.0,5.633,6.633,0.2659,-0.0005,0.4646,0.0,1.0,0.0005,0.0,6.633
merge_hesitation,23,1.5,5.633,7.133,0.2591,0.0,0.4364,0.0,1.0,0.0,0.0,7.133
merge_hesitation,23,2.0,5.633,7.633,0.2525,0.0,0.41,0.0,1.0,0.0,0.0,7.633
merge_hesitation,24,-2.0,5.667,3.667,0.3192,-0.0083,0.6902,0.0,1.0,0.0083,0.0,3.667
merge_hesitation,24,-1.5,5.667,4.167,0.3121,0.0,0.6483,0.0,1.0,0.0,0.0,4.167
merge_hesitation,24,-1.0,5.667,4.667,0.3007,-0.0038,0.6091,0.0,1.0,0.0038,0.0,4.667
merge_hesitation,24,-0.5,5.667,5.167,0.293,0.0,0.5722,0.0,1.0,0.0,0.0,5.167
merge_hesitation,24,0.0,5.667,5.667,0.2765,-0.0236,0.5375,0.0081,1.0,0.0236,0.0,5.667
merge_hesitation,24,0.5,5.667,6.167,0.2762,0.0,0.5049,0.0,1.0,0.0,0.0,6.167
merge_hesitation,24,1.0,5.667,6.667,0.2686,0.0,0.4743,0.0,1.0,0.0,0.0,6.667
merge_hesitation,24,1.5,5.667,7.167,0.2603,-0.0028,0.4456,0.0,1.0,0.0028,0.0,7.167
merge_hesitation,24,2.0,5.667,7.667,0.2509,-0.0093,0.4186,0.0,1.0,0.0093,0.0,7.667
merge_hesitation,25,-2.0,5.633,3.633,0.3235,0.0113,0.6759,0.0,1.0,0.0,0.0113,3.633
merge_hesitation,25,-1.5,5.633,4.133,0.3115,0.007,0.635,0.0,1.0,0.0043,0.0113,4.133
merge_hesitation,25,-1.0,5.633,4.633,0.3037,0.0113,0.5965,0.0,1.0,0.0,0.0113,4.633
merge_hesitation,25,-0.5,5.633,5.133,0.2822,-0.0197,0.5604,0.0,1.0,0.031,0.0113,5.133
merge_hesitation,25,0.0,5.633,5.633,0.2885,0.0113,0.5264,0.0118,1.0,0.0,0.0113,5.633
merge_hesitation,25,0.5,5.633,6.133,0.2719,-0.0044,0.4945,0.0,1.0,0.0158,0.0113,6.133
merge_hesitation,25,1.0,5.633,6.633,0.2633,-0.0071,0.4646,0.0,1.0,0.0185,0.0113,6.633
merge_hesitation,25,1.5,5.633,7.133,0.2509,-0.0205,0.4364,0.0,1.0,0.0318,0.0113,7.133
merge_hesitation,25,2.0,5.633,7.633,0.257,0.0113,0.41,0.0,1.0,0.0001,0.0113,7.633
merge_hesitation,26,-2.0,5.633,3.633,0.3154,-0.0106,0.6788,0.0,1.0,0.0195,0.0089,3.633
merge_hesitation,26,-1.5,5.633,4.133,0.313,0.0089,0.6376,0.0,1.0,0.0,0.0089,4.133
merge_hesitation,26,-1.0,5.633,4.633,0.3019,0.0054,0.599,0.0,1.0,0.0035,0.0089,4.633
merge_hesitation,26,-0.5,5.633,5.133,0.294,0.0083,0.5627,0.0,1.0,0.0007,0.0089,5.133
merge_hesitation,26,0.0,5.633,5.633,0.2896,0.0089,0.5286,0.0192,1.0,0.0,0.0089,5.633
merge_hesitation,26,0.5,5.633,6.133,0.2777,0.0089,0.4966,0.0,1.0,0.0,0.0089,6.133
merge_hesitation,26,1.0,5.633,6.633,0.2702,0.0089,0.4665,0.0,1.0,0.0,0.0089,6.633
merge_hesitation,26,1.5,5.633,7.133,0.2507,-0.022,0.4382,0.0,1.0,0.0309,0.0089,7.133
merge_hesitation,26,2.0,5.633,7.633,0.2459,-0.0176,0.4117,0.0,1.0,0.0265,0.0089,7.633
merge_hesitation,27,-2.0,5.667,3.667,0.3176,-0.0017,0.6731,0.0,1.0,0.024,0.0223,3.667
merge_hesitation,27,-1.5,5.667,4.167,0.317,0.0223,0.6323,0.0,1.0,0.0,0.0223,4.167
merge_hesitation,27,-1.0,5.667,4.667,0.3056,0.0178,0.594,0.0,1.0,0.0045,0.0223,4.667
merge_hesitation,27,-0.5,5.667,5.167,0.2984,0.0223,0.558,0.0,1.0,0.0,0.0223,5.167
merge_hesitation,27,0.0,5.667,5.667,0.2801,-0.007,0.5242,0.0091,1.0,0.0293,0.0223,5.667
merge_hesitation,27,0.5,5.667,6.167,0.282,0.0223,0.4925,0.0,1.0,0.0,0.0223,6.167
merge_hesitation,27,1.0,5.667,6.667,0.2729,0.0182,0.4626,0.0,1.0,0.0041,0.0223,6.667
merge_hesitation,27,1.5,5.667,7.167,0.2676,0.0223,0.4346,0.0,1.0,0.0,0.0223,7.167
merge_hesitation,27,2.0,5.667,7.667,0.261,0.0223,0.4083,0.0,1.0,0.0,0.0223,7.667
merge_hesitation,28,-2.0,5.667,3.667,0.3157,-0.0064,0.6731,0.0,1.0,0.0075,0.0011,3.667
merge_hesitation,28,-1.5,5.667,4.167,0.2935,-0.0365,0.6323,0.0,1.0,0.0376,0.0011,4.167
merge_hesitation,28,-1.0,5.667,4.667,0.2983,-0.0005,0.594,0.0,1.0,0.0016,0.0011,4.667
merge_hesitation,28,-0.5,5.667,5.167,0.2899,0.0011,0.558,0.0,1.0,0.0,0.0011,5.167
merge_hesitation,28,0.0,5.667,5.667,0.2845,0.0011,0.5242,0.0149,1.0,0.0,0.0011,5.667
merge_hesitation,28,0.5,5.667,6.167,0.2734,0.0007,0.4925,0.0,1.0,0.0004,0.0011,6.167
merge_hesitation,28,1.0,5.667,6.667,0.2644,-0.0032,0.4626,0.0,1.0,0.0043,0.0011,6.667
merge_hesitation,28,1.5,5.667,7.167,0.2553,-0.0083,0.4346,0.0,1.0,0.0094,0.0011,7.167
merge_hesitation,28,2.0,5.667,7.667,0.2525,0.0011,0.4083,0.0,1.0,0.0,0.0011,7.667
merge_hesitation,29,-2.0,5.667,3.667,0.3146,-0.0127,0.6788,0.0,1.0,0.0217,0.009,3.667
merge_hesitation,29,-1.5,5.667,4.167,0.313,0.009,0.6376,0.0,1.0,0.0,0.009,4.167
merge_hesitation,29,-1.0,5.667,4.667,0.3033,0.009,0.599,0.0,1.0,0.0,0.009,4.667
merge_hesitation,29,-0.5,5.667,5.167,0.2943,0.009,0.5627,0.0,1.0,0.0,0.009,5.167
merge_hesitation,29,0.0,5.667,5.667,0.281,-0.0029,0.5286,0.0,1.0,0.0119,0.009,5.667
merge_hesitation,29,0.5,5.667,6.167,0.2777,0.009,0.4966,0.0,1.0,0.0,0.009,6.167
merge_hesitation,29,1.0,5.667,6.667,0.2702,0.009,0.4665,0.0,1.0,0.0,0.009,6.667
merge_hesitation,29,1.5,5.667,7.167,0.2631,0.009,0.4382,0.0,1.0,0.0,0.009,7.167
merge_hesitation,29,2.0,5.667,7.667,0.2565,0.009,0.4117,0.0,1.0,0.0,0.009,7.667
occluded_intersection,0,-2.0,4.467,2.467,0.3989,-0.2759,1.0,0.9213,0.5,0.66,0.3841,2.467
occluded_intersection,0,-1.5,4.467,2.967,0.4085,-0.2548,1.0,0.9271,0.5,0.6389,0.3841,2.967
occluded_intersection,0,-1.0,4.467,3.467,0.4129,-0.2466,1.0,0.9327,0.5,0.6307,0.3841,3.467
occluded_intersection,0,-0.5,4.467,3.967,0.6506,0.2375,0.9713,0.8137,1.0,0.1466,0.3841,3.967
occluded_intersection,0,0.0,4.467,4.467,0.6279,0.3841,0.9124,0.4806,1.0,0.0,0.3841,4.467
occluded_intersection,0,0.5,4.467,4.967,0.5681,0.3682,0.8571,0.2827,1.0,0.0159,0.3841,4.967
occluded_intersection,0,1.0,4.467,5.467,0.5378,0.383,0.8052,0.1662,1.0,0.001,0.3841,5.467
occluded_intersection,0,1.5,4.467,5.967,0.5116,0.3841,0.7564,0.0942,1.0,0.0,0.3841,5.967
occluded_intersection,0,2.0,4.467,6.467,0.4915,0.3841,0.7106,0.0512,1.0,0.0,0.3841,6.467
occluded_intersection,1,-2.0,4.433,2.433,0.3692,-0.3506,1.0,0.9224,0.5,0.6625,0.3119,2.433
occluded_intersection,1,-1.5,4.433,2.933,0.3736,-0.3431,1.0,0.9293,0.5,0.655,0.3119,2.933
occluded_intersection,1,-1.0,4.433,3.433,0.401,-0.2771,1.0,0.9342,0.5,0.589,0.3119,3.433
occluded_intersection,1,-0.5,4.433,3.933,0.6294,0.1893,0.9794,0.7945,1.0,0.1226,0.3119,3.933
occluded_intersection,1,0.0,4.433,4.433,0.6025,0.3119,0.92,0.4888,1.0,0.0,0.3119,4.433
occluded_intersection,1,0.5,4.433,4.933,0.5494,0.3119,0.8643,0.2928,1.0,0.0,0.3119,4.933
occluded_intersection,1,1.0,4.433,5.433,0.5121,0.3119,0.8119,0.1717,1.0,0.0,0.3119,5.433
occluded_intersection,1,1.5,4.433,5.933,0.4851,0.3119,0.7627,0.0983,1.0,0.0,0.3119,5.933
occluded_intersection,1,2.0,4.433,6.433,0.4662,0.3119,0.7165,0.0617,1.0,0.0,0.3119,6.433
occluded_intersection,2,-2.0,4.4,2.4,0.3806,-0.3214,1.0,0.9208,0.5,0.6571,0.3357,2.4
occluded_intersection,2,-1.5,4.4,2.9,0.3824,-0.32,1.0,0.9271,0.5,0.6557,0.3357,2.9
occluded_intersection,2,-1.0,4.4,3.4,0.3926,-0.2973,1.0,0.9328,0.5,0.633,0.3357,3.4
occluded_intersection,2,-0.5,4.4,3.9,0.4183,-0.2355,1.0,0.9376,0.5,0.5713,0.3357,3.9
occluded_intersection,2,0.0,4.4,4.4,0.6311,0.1878,0.9753,0.8107,1.0,0.1479,0.3357,4.4
occluded_intersection,2,0.5,4.4,4.9,0.6135,0.3357,0.9162,0.5008,1.0,0.0,0.3357,4.9
occluded_intersection,2,1.0,4.4,5.4,0.5609,0.3357,0.8607,0.3071,1.0,0.0,0.3357,5.4
occluded_intersection,2,1.5,4.4,5.9,0.5233,0.3357,0.8086,0.1845,1.0,0.0,0.3357,5.9
occluded_intersection,2,2.0,4.4,6.4,0.4947,0.3321,0.7596,0.1099,1.0,0.0036,0.3357,6.4
occluded_intersection,3,-2.0,4.5,2.5,0.3926,-0.2934,1.0,0.9249,0.5,0.6354,0.3419,2.5
occluded_intersection,3,-1.5,4.5,3.0,0.3801,-0.3278,1.0,0.9309,0.5,0.6697,0.3419,3.0
