frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
1,1.008,CRUISE,0.35,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
2,2.076,CRUISE,0.2625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
3,2.425,CRUISE,0.3169,0.4528,0.0,0.0,0.0,0.0,0.0,0.0,
4,2.771,CRUISE,0.3145,0.4493,0.0,0.0,0.0,0.0,0.0,0.0,
5,3.212,CRUISE,0.3226,0.4609,0.0,-0.0003,0.0008,0.0,0.0,0.0,
6,3.596,CRUISE,0.3208,0.4583,0.0,0.0009,0.0007,0.0,0.0,0.0,
7,3.975,CRUISE,0.3227,0.461,0.0,0.0014,0.0006,0.0,0.0,0.0,
8,4.39,CRUISE,0.3231,0.4615,0.0,0.0016,0.0005,0.0,0.0,0.0,
9,4.812,CRUISE,0.3227,0.461,0.0,0.0015,0.0005,0.0,0.0,0.0,
10,5.142,CRUISE,0.3219,0.4599,0.0,0.0013,0.0004,0.0,0.0,0.0,
11,5.511,CRUISE,0.321,0.4586,0.0,0.0012,0.0004,0.0,0.0,0.0,
12,5.821,CRUISE,0.3199,0.4571,0.0,0.001,0.0004,0.0,0.0,0.0,
13,6.056,CRUISE,0.3189,0.4555,0.0,0.0008,0.0003,0.0,0.0,0.0,
14,6.269,CRUISE,0.3178,0.454,0.0,0.0006,0.0003,0.0,0.0,0.0,
15,6.49,CRUISE,0.3167,0.4525,0.0,0.0005,0.0003,0.0,0.0,0.0,
16,6.719,CRUISE,0.3157,0.451,0.0,0.0003,0.0003,0.0,0.0,0.0,
17,6.942,CRUISE,0.3147,0.4496,0.0,0.0002,0.0003,0.0,0.0,0.0,
18,7.167,CRUISE,0.3138,0.4483,0.0,0.0001,0.0002,0.0,0.0,0.0,
19,7.381,CRUISE,0.3129,0.447,0.0,0.0,0.0002,0.0,0.0,0.0,
20,7.593,CRUISE,0.312,0.4457,0.0,-0.0001,0.0002,0.0,0.0,0.0,
21,7.843,CRUISE,0.3112,0.4445,0.0,-0.0001,0.0002,0.0,0.0,0.0,
22,8.076,CRUISE,0.31,0.4428,0.0,-0.0002,0.0002,0.0,0.0,0.0,
23,8.298,CRUISE,0.3093,0.4418,0.0,-0.0002,0.0002,0.0,0.0,0.0,
24,8.542,CRUISE,0.3086,0.4409,0.0,-0.0003,0.0002,0.0,0.0,0.0,
25,8.776,CRUISE,0.308,0.4399,0.0,-0.0003,0.0002,0.0,0.0,0.0,
26,8.964,CRUISE,0.3073,0.439,0.0,-0.0004,0.0002,0.0,0.0,0.0,
27,9.162,CRUISE,0.3067,0.4382,0.0,-0.0004,0.0002,0.0,0.0,0.0,
28,9.359,CRUISE,0.3061,0.4374,0.0,-0.0004,0.0002,0.0,0.0,0.0,
29,9.551,CRUISE,0.3085,0.4407,0.0,-0.0004,0.0002,0.0,0.0,0.0,
30,9.787,CRUISE,0.308,0.44,0.0,-0.0004,0.0002,0.0,0.0,0.0,
31,10.032,CRUISE,0.3077,0.4396,0.0,-0.0002,0.0001,0.0,0.0,0.0,
32,10.285,CRUISE,0.3076,0.4394,0.0,-0.0006,0.0,0.0,0.0,0.0,
33,10.54,CRUISE,0.3041,0.4344,0.0,-0.0006,0.0,0.0,0.0,0.0,
34,10.77,CRUISE,0.3041,0.4344,0.0,-0.0007,0.0,0.0,0.0,0.0,
35,10.978,CRUISE,0.2968,0.4241,0.0,-0.0007,0.0,0.0,0.0,0.0,
36,11.179,CRUISE,0.2873,0.4104,0.0,-0.0009,0.0001,0.0,0.0,0.0,
37,11.4,CRUISE,0.2873,0.4104,0.0,-0.0009,0.0001,0.0,0.0,0.0,
38,11.589,CRUISE,0.2873,0.4104,0.0,-0.001,0.0001,0.0,0.0,0.0,
39,11.79,CRUISE,0.3034,0.4334,0.0,-0.0009,0.0001,0.0028,0.0081,0.0,
40,12.036,CRUISE,0.3034,0.4334,0.0,-0.0009,0.0001,0.0,0.0,0.0,
41,12.298,CRUISE,0.3034,0.4334,0.0,-0.0008,0.0001,0.0,0.0,0.0,
42,12.54,CRUISE,0.3034,0.4334,0.0,-0.0008,0.0001,0.0,0.0,0.0,
43,12.755,CRUISE,0.3034,0.4334,0.0,-0.0007,0.0001,0.0,0.0,0.0,
44,12.976,CRUISE,0.3034,0.4334,0.0,-0.0006,0.0001,0.0,0.0,0.0,
45,13.186,CRUISE,0.3034,0.4334,0.0,-0.0006,0.0001,0.0,0.0,0.0,
46,13.402,CRUISE,0.3034,0.4334,0.0,-0.0005,0.0,0.0,0.0,0.0,
47,13.626,CRUISE,0.3034,0.4334,0.0,-0.0004,0.0,0.0,0.0,0.0,
48,13.843,CRUISE,0.3034,0.4334,0.0,-0.0004,0.0,0.0,0.0,0.0,
49,14.059,CRUISE,0.3034,0.4334,0.0,-0.0003,0.0,0.0,0.0,0.0,
50,14.271,CRUISE,0.3034,0.4334,0.0,-0.0003,0.0,0.0,0.0,0.0,
51,14.498,CRUISE,0.3034,0.4334,0.0,-0.0002,0.0,0.0,0.0,0.0,
52,14.72,CRUISE,0.3028,0.4326,0.0,-0.0002,0.0,0.0,0.0,0.0,
53,14.951,CRUISE,0.3028,0.4326,0.0,-0.0001,0.0,0.0,0.0,0.0,
54,15.185,CRUISE,0.3028,0.4326,0.0,-0.0001,0.0,0.0,0.0,0.0,
55,15.403,CRUISE,0.3028,0.4326,0.0,-0.0001,0.0,0.0,0.0,0.0,
56,15.626,CRUISE,0.3028,0.4326,0.0,-0.0,0.0,0.0,0.0,0.0,
57,15.864,CRUISE,0.3028,0.4326,0.0,0.0,0.0,0.0,0.0,0.0,
58,16.096,CRUISE,0.3028,0.4326,0.0,0.0,0.0,0.0,0.0,0.0,
59,16.32,CRUISE,0.2962,0.4231,0.0,0.0,0.0,0.0,0.0,0.0,
60,16.565,CRUISE,0.2962,0.4231,0.0,0.0,0.0,0.0,0.0,0.0,
61,16.818,CRUISE,0.2961,0.423,0.0,0.0001,0.0,0.0,0.0,0.0,
62,17.059,CRUISE,0.2941,0.4201,0.0,0.0001,0.0,0.0,0.0,0.0,
63,17.299,CRUISE,0.2941,0.4201,0.0,0.0,0.0,0.0,0.0,0.0,
64,17.508,CRUISE,0.2941,0.4201,0.0,0.0,0.0,0.0,0.0,0.0,
65,17.72,CRUISE,0.2941,0.4201,0.0,-0.0,0.0,0.0,0.0,0.0,
66,17.945,CRUISE,0.2941,0.4201,0.0,-0.0001,0.0,0.0,0.0,0.0,
67,18.183,CRUISE,0.2941,0.4201,0.0,-0.0003,0.0,0.0,0.0,0.0,
68,18.447,CRUISE,0.2941,0.4201,0.0,-0.0004,0.0,0.0,0.0,0.0,
69,18.713,CRUISE,0.2625,0.375,0.0,-0.0006,0.0001,0.0,0.0,0.0,
70,19.011,CRUISE,0.2625,0.375,0.0,-0.0008,0.0001,0.0,0.0,0.0,
71,19.247,CRUISE,0.2625,0.375,0.0,-0.001,0.0001,0.0,0.0,0.0,
72,19.499,CRUISE,0.2625,0.375,0.0,-0.0012,0.0002,0.0,0.0,0.0,
73,19.724,CRUISE,0.2625,0.375,0.0,-0.0013,0.0002,0.0,0.0,0.0,
74,19.94,CRUISE,0.2625,0.375,0.0,-0.0015,0.0002,0.0,0.0,0.0,
75,20.155,CRUISE,0.2625,0.375,0.0,-0.0016,0.0003,0.0,0.0,0.0,
76,20.374,CRUISE,0.2625,0.375,0.0,-0.0017,0.0003,0.0,0.0,0.0,
77,20.61,CRUISE,0.2625,0.375,0.0,-0.0018,0.0003,0.0,0.0,0.0,
78,20.865,CRUISE,0.2625,0.375,0.0,-0.0018,0.0003,0.0,0.0,0.0,
79,21.092,CRUISE,0.2625,0.375,0.0,-0.0019,0.0003,0.0,0.0,0.0,
80,21.343,CRUISE,0.2625,0.375,0.0,-0.0019,0.0003,0.0,0.0,0.0,
81,21.636,CRUISE,0.2625,0.375,0.0,-0.0019,0.0003,0.0,0.0,0.0,
82,21.86,CRUISE,0.2625,0.375,0.0,-0.0019,0.0003,0.0,0.0,0.0,
83,22.085,CRUISE,0.2625,0.375,0.0,-0.0018,0.0003,0.0,0.0,0.0,
84,22.312,CRUISE,0.2625,0.375,0.0,-0.0018,0.0003,0.0,0.0,0.0,
85,22.549,CRUISE,0.2625,0.375,0.0,-0.0017,0.0003,0.0,0.0,0.0,
86,22.797,CRUISE,0.2625,0.375,0.0,-0.0017,0.0003,0.0,0.0,0.0,
87,23.02,CRUISE,0.2625,0.375,0.0,-0.0016,0.0003,0.0,0.0,0.0,
88,23.246,CRUISE,0.2625,0.375,0.0,-0.0014,0.0002,0.0,0.0,0.0,
89,23.513,CRUISE,0.2625,0.375,0.0,-0.0014,0.0002,0.0,0.0,0.0,
90,23.789,CRUISE,0.2625,0.375,0.0,-0.0013,0.0002,0.0,0.0,0.0,
91,24.017,CRUISE,0.2625,0.375,0.0,-0.0011,0.0002,0.0,0.0,0.0,
92,24.232,CRUISE,0.2625,0.375,0.0,-0.001,0.0002,0.0,0.0,0.0,
93,24.461,CRUISE,0.2625,0.375,0.0,-0.0009,0.0001,0.0,0.0,0.0,
94,24.691,CRUISE,0.2625,0.375,0.0,-0.0007,0.0001,0.0,0.0,0.0,
95,24.935,CRUISE,0.2625,0.375,0.0,-0.0006,0.0001,0.0,0.0,0.0,
96,25.166,CRUISE,0.2625,0.375,0.0,-0.0004,0.0001,0.0,0.0,0.0,
97,25.427,CRUISE,0.2625,0.375,0.0,-0.0002,0.0,0.0,0.0,0.0,
98,25.637,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
99,25.861,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
100,26.057,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
101,26.271,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
102,26.497,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
103,26.737,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
104,26.989,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
105,27.236,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
106,27.46,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
107,27.672,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
108,27.913,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
109,28.182,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
110,28.402,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
111,28.621,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
112,28.822,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
113,29.036,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
114,29.256,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
115,29.472,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
116,29.682,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
117,29.9,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
118,30.144,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
119,30.361,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
120,30.597,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
121,30.851,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
122,31.083,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
123,31.311,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
124,31.51,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
125,31.717,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
126,31.913,CRUISE,0.2625,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
127,32.117,CRUISE,0.3155,0.4507,0.0,0.0003,0.0001,0.0063,0.0179,0.0,
128,32.318,CRUISE,0.3155,0.4507,0.0,0.0007,0.0002,0.0,0.0,0.0,
129,32.524,CRUISE,0.3357,0.4795,0.0,0.0011,0.0003,0.0063,0.0179,0.0,
130,32.717,PROBE,0.351,0.5014,0.0,0.0016,0.0005,0.0062,0.0178,0.0,G1
131,32.912,PROBE,0.3542,0.506,0.0,0.002,0.0008,0.0062,0.0177,0.0,
132,33.109,PROBE,0.3549,0.507,0.0,0.0025,0.001,0.0062,0.0177,0.0,
133,33.318,PROBE,0.3549,0.507,0.0,0.0029,0.0011,0.0,0.0,0.0,
134,33.507,PROBE,0.3552,0.5074,0.0,0.0032,0.0013,0.0063,0.0179,0.0,
135,33.712,PROBE,0.3552,0.5074,0.0,0.0036,0.0015,0.0,0.0,0.0,
136,33.925,PROBE,0.3552,0.5074,0.0,0.0038,0.0016,0.0,0.0,0.0,
137,34.143,PROBE,0.3552,0.5074,0.0,0.0041,0.0017,0.0,0.0,0.0,
138,34.362,PROBE,0.3552,0.5074,0.0,0.0042,0.0018,0.0,0.0,0.0,
139,34.591,PROBE,0.3552,0.5074,0.0,0.0044,0.0018,0.0,0.0,0.0,
140,34.812,PROBE,0.3552,0.5074,0.0,0.0045,0.0019,0.0,0.0,0.0,
141,35.048,PROBE,0.3552,0.5074,0.0,0.0046,0.0019,0.0,0.0,0.0,
142,35.293,PROBE,0.3552,0.5074,0.0,0.0046,0.0019,0.0,0.0,0.0,
143,35.508,PROBE,0.3552,0.5074,0.0,0.0046,0.0019,0.0,0.0,0.0,
144,35.72,HOLD,0.3552,0.5074,0.0,0.0045,0.0019,0.0,0.0,0.0,G2
145,35.943,HOLD,0.3552,0.5074,0.0,0.0044,0.0019,0.0,0.0,0.0,
146,36.152,HOLD,0.3552,0.5074,0.0,0.0043,0.0018,0.0,0.0,0.0,
147,36.371,HOLD,0.3552,0.5074,0.0,0.0041,0.0017,0.0,0.0,0.0,
148,36.579,HOLD,0.3552,0.5074,0.0,0.0039,0.0016,0.0,0.0,0.0,
149,36.819,HOLD,0.3552,0.5074,0.0,0.0036,0.0015,0.0,0.0,0.0,
150,37.078,HOLD,0.3552,0.5074,0.0,0.0033,0.0014,0.0,0.0,0.0,
151,37.335,HOLD,0.3552,0.5074,0.0,0.003,0.0012,0.0,0.0,0.0,
152,37.564,HOLD,0.3552,0.5074,0.0,0.0026,0.001,0.0,0.0,0.0,
153,37.767,HOLD,0.3552,0.5074,0.0,0.0022,0.0008,0.0,0.0,0.0,
154,37.959,HOLD,0.3552,0.5074,0.0,0.0017,0.0006,0.0,0.0,0.0,
155,38.158,HOLD,0.3552,0.5074,0.0,0.0012,0.0004,0.0,0.0,0.0,
156,38.36,HOLD,0.3552,0.5074,0.0,0.0006,0.0001,0.0,0.0,0.0,
