frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
65,15.67,ABORT,0.4236,0.6051,0.0,-0.0009,0.0007,0.0,0.0,0.0,
66,15.871,ABORT,0.4332,0.6189,0.0,-0.001,0.0007,0.0,0.0,0.0,
67,16.068,ABORT,0.4383,0.6262,0.0,-0.0009,0.0007,0.0,0.0,0.0,
68,16.266,ABORT,0.4475,0.6393,0.0,-0.0009,0.0007,0.0,0.0,0.0,
69,16.466,ABORT,0.4564,0.652,0.0,-0.0008,0.0008,0.0,0.0,0.0,
70,16.662,ABORT,0.4642,0.6632,0.0,-0.0006,0.0008,0.0,0.0,0.0,
71,16.878,ABORT,0.4709,0.6727,0.0,-0.0004,0.0008,0.0,0.0,0.0,
72,17.084,ABORT,0.4747,0.6781,0.0,-0.0002,0.0009,0.0,0.0,0.0,
73,17.294,ABORT,0.4751,0.6787,0.0,-0.0,0.0009,0.0001,0.0003,0.0,
74,17.495,ABORT,0.4792,0.6845,0.0,0.0002,0.001,0.0018,0.0051,0.0,
75,17.692,ABORT,0.4788,0.6841,0.0,0.0004,0.0011,0.0,0.0,0.0,
76,17.891,ABORT,0.4682,0.6688,0.0,0.0006,0.0011,0.0035,0.0099,0.0,
77,18.09,ABORT,0.4572,0.6532,0.0,0.0011,0.001,0.0,0.0,0.0,
78,18.294,ABORT,0.4573,0.6532,0.0,0.0016,0.0009,0.0,0.0,0.0,
79,18.494,ABORT,0.4484,0.6406,0.0,0.0019,0.0009,0.0,0.0,0.0,
80,18.705,ABORT,0.4448,0.6354,0.0,0.0021,0.0009,0.0,0.0,0.0,
81,18.917,ABORT,0.4365,0.6236,0.0,0.0022,0.0009,0.0,0.0,0.0,
82,19.161,ABORT,0.41,0.5857,0.0,0.0021,0.0009,0.0,0.0,0.0,
83,19.457,ABORT,0.388,0.5544,0.0,0.0018,0.001,0.0,0.0,0.0,
84,19.664,ABORT,0.3738,0.534,0.0,0.0014,0.0011,0.0,0.0,0.0,
85,19.887,ABORT,0.3537,0.5053,0.0,0.0008,0.0013,0.0,0.0,0.0,
86,20.136,ABORT,0.3536,0.5051,0.0,0.0001,0.0014,0.0,0.0,0.0,
87,20.351,CRUISE,0.2888,0.4126,0.0,-0.0008,0.002,0.0,0.0,0.0,G7
88,20.539,CRUISE,0.2888,0.4126,0.0,-0.002,0.0026,0.0,0.0,0.0,
89,20.722,CRUISE,0.2911,0.4159,0.0,-0.003,0.0031,0.0007,0.002,0.0,
90,20.931,CRUISE,0.2911,0.4159,0.0,-0.004,0.0036,0.0,0.0,0.0,
91,21.134,CRUISE,0.2911,0.4159,0.0,-0.005,0.004,0.0,0.0,0.0,
92,21.348,CRUISE,0.2915,0.4164,0.0,-0.0059,0.0045,0.0,0.0,0.0,
93,21.564,CRUISE,0.3459,0.4104,0.1952,-0.0062,0.0046,0.0153,0.0438,0.0,
94,21.79,CRUISE,0.2873,0.4104,0.0,-0.0069,0.005,0.0,0.0,0.0,
95,21.988,CRUISE,0.2873,0.4104,0.0,-0.0075,0.0054,0.0,0.0,0.0,
96,22.181,PROBE,0.354,0.4101,0.2229,-0.0075,0.0054,0.0051,0.0144,0.0,G1
97,22.379,PROBE,0.2871,0.4101,0.0,-0.0078,0.0057,0.0,0.0,0.0,
98,22.584,PROBE,0.3608,0.4125,0.24,-0.0076,0.0056,0.0003,0.001,0.0,
