frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
1,0.915,CRUISE,0.225,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
2,1.835,CRUISE,0.1688,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
3,2.084,CRUISE,0.1688,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
4,2.295,CRUISE,0.1688,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
5,2.548,CRUISE,0.1688,0.375,0.0,-0.0113,0.0005,0.0,0.0,0.0,
6,2.8,CRUISE,0.1688,0.375,0.0,-0.008,0.0004,0.0,0.0,0.0,
7,3.047,CRUISE,0.1688,0.375,0.0,-0.006,0.0004,0.0,0.0,0.0,
8,3.348,CRUISE,0.1688,0.375,0.0,-0.0047,0.0003,0.0,0.0,0.0,
9,3.543,CRUISE,0.1688,0.375,0.0,-0.0037,0.0003,0.0,0.0,0.0,
10,3.741,CRUISE,0.1688,0.375,0.0,-0.0031,0.0003,0.0,0.0,0.0,
11,3.95,CRUISE,0.1688,0.375,0.0,-0.0026,0.0003,0.0,0.0,0.0,
12,4.154,CRUISE,0.1688,0.375,0.0,-0.0022,0.0002,0.0,0.0,0.0,
13,4.372,CRUISE,0.1688,0.375,0.0,-0.0019,0.0002,0.0,0.0,0.0,
14,4.586,CRUISE,0.1688,0.375,0.0,-0.0016,0.0002,0.0,0.0,0.0,
15,4.798,CRUISE,0.1688,0.375,0.0,-0.0014,0.0002,0.0,0.0,0.0,
16,5.007,CRUISE,0.1688,0.375,0.0,-0.0012,0.0002,0.0,0.0,0.0,
17,5.223,CRUISE,0.1688,0.375,0.0,-0.0011,0.0002,0.0,0.0,0.0,
18,5.433,CRUISE,0.1688,0.375,0.0,-0.001,0.0002,0.0,0.0,0.0,
19,5.565,CRUISE,0.1922,0.4272,0.0,-0.0005,0.0002,0.0,0.0001,0.0,
20,5.695,CRUISE,0.1917,0.4259,0.0,-0.0002,0.0002,0.0,0.0,0.0,
21,5.825,CRUISE,0.1911,0.4247,0.0,0.0001,0.0002,0.0,0.0,0.0,
