frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
1,1.118,CRUISE,0.35,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
2,2.331,CRUISE,0.2625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
3,2.739,CRUISE,0.2625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
4,3.121,CRUISE,0.2625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
5,3.575,CRUISE,0.1875,0.375,0.0,-0.0325,0.0026,0.0,0.0,0.0,
6,4.048,CRUISE,0.1875,0.375,0.0,-0.0296,0.003,0.0,0.0,0.0,
7,4.461,CRUISE,0.1875,0.375,0.0,-0.0254,0.0031,0.0,0.0,0.0,
8,4.825,CRUISE,0.1875,0.375,0.0,-0.0216,0.0031,0.0,0.0,0.0,
9,5.204,CRUISE,0.1875,0.375,0.0,-0.0183,0.003,0.0,0.0,0.0,
10,5.588,CRUISE,0.1875,0.375,0.0,-0.0157,0.0028,0.0,0.0,0.0,
11,5.918,CRUISE,0.1875,0.375,0.0,-0.0135,0.0027,0.0,0.0,0.0,
12,6.216,CRUISE,0.2088,0.4176,0.0,-0.0109,0.0025,0.0,0.0001,0.0,
13,6.511,CRUISE,0.208,0.416,0.0,-0.009,0.0023,0.0,0.0,0.0,
14,6.767,CRUISE,0.227,0.454,0.0,-0.007,0.0021,0.003,0.0085,0.0,
15,6.965,CRUISE,0.2257,0.4515,0.0,-0.0056,0.002,0.0,0.0,0.0,
16,7.211,CRUISE,0.2246,0.4491,0.0,-0.0045,0.0019,0.0,0.0,0.0,
17,7.401,CRUISE,0.2296,0.4592,0.0,-0.0036,0.0018,0.0229,0.0655,0.0,
18,7.588,CRUISE,0.2285,0.457,0.0,-0.0029,0.0017,0.0,0.0,0.0,
19,7.784,CRUISE,0.2275,0.4549,0.0,-0.0024,0.0016,0.0,0.0,0.0,
20,7.965,CRUISE,0.2265,0.453,0.0,-0.002,0.0015,0.0,0.0,0.0,
21,8.154,CRUISE,0.2256,0.4513,0.0,-0.0017,0.0014,0.0,0.0,0.0,
22,8.345,CRUISE,0.2248,0.4496,0.0,-0.0015,0.0014,0.0,0.0,0.0,
23,8.537,CRUISE,0.224,0.448,0.0,-0.0013,0.0013,0.0,0.0,0.0,
24,8.724,CRUISE,0.2269,0.4537,0.0,-0.0011,0.0013,0.051,0.1458,0.0,
25,8.907,CRUISE,0.2261,0.4522,0.0,-0.0009,0.0012,0.0,0.0,0.0,
26,9.092,CRUISE,0.2254,0.4508,0.0,-0.0008,0.0012,0.0,0.0,0.0,
27,9.279,CRUISE,0.2248,0.4495,0.0,-0.0007,0.0011,0.0,0.0,0.0,
28,9.462,CRUISE,0.2241,0.4482,0.0,-0.0006,0.0011,0.0,0.0,0.0,
29,9.644,CRUISE,0.2235,0.447,0.0,-0.0006,0.001,0.0,0.0,0.0,
30,9.834,CRUISE,0.2229,0.4459,0.0,-0.0005,0.001,0.0,0.0,0.0,
31,10.011,CRUISE,0.2229,0.4459,0.0,0.0004,0.0005,0.0,0.0,0.0,
32,10.195,CRUISE,0.2229,0.4459,0.0,0.0007,0.0004,0.0,0.0,0.0,
33,10.379,CRUISE,0.2229,0.4459,0.0,0.001,0.0003,0.0,0.0,0.0,
34,10.571,CRUISE,0.2308,0.4616,0.0,0.0014,0.0003,0.0533,0.1522,0.0,
35,10.795,CRUISE,0.2308,0.4616,0.0,0.0013,0.0002,0.0,0.0,0.0,
36,10.979,CRUISE,0.2308,0.4616,0.0,0.0012,0.0002,0.0,0.0,0.0,
37,11.17,CRUISE,0.2308,0.4616,0.0,0.0011,0.0002,0.0,0.0,0.0,
38,11.4,CRUISE,0.2308,0.4616,0.0,0.0009,0.0002,0.0,0.0,0.0,
39,11.586,CRUISE,0.2308,0.4616,0.0,0.0008,0.0001,0.0,0.0,0.0,
40,11.818,CRUISE,0.2308,0.4616,0.0,0.0006,0.0001,0.0,0.0,0.0,
41,12.028,CRUISE,0.2308,0.4616,0.0,0.0004,0.0,0.0,0.0,0.0,
42,12.261,CRUISE,0.229,0.4579,0.0,0.0003,0.0,0.0,0.0,0.0,
43,12.447,CRUISE,0.229,0.4579,0.0,0.0001,0.0,0.0,0.0,0.0,
44,12.629,CRUISE,0.2219,0.4437,0.0,0.0001,0.0,0.0,0.0,0.0,
45,12.809,CRUISE,0.2219,0.4437,0.0,0.0001,0.0,0.0,0.0,0.0,
46,13.015,CRUISE,0.2219,0.4437,0.0,0.0,0.0,0.0,0.0,0.0,
47,13.199,CRUISE,0.2173,0.4347,0.0,-0.0,0.0,0.0,0.0,0.0,
48,13.385,CRUISE,0.3043,0.4347,0.0,0.0005,0.0002,0.0,0.0,0.0,
49,13.576,CRUISE,0.2173,0.4347,0.0,0.0004,0.0002,0.0,0.0,0.0,
50,13.763,CRUISE,0.2173,0.4347,0.0,0.0003,0.0002,0.0,0.0,0.0,
51,13.953,CRUISE,0.2173,0.4347,0.0,0.0003,0.0002,0.0,0.0,0.0,
52,14.15,CRUISE,0.2173,0.4347,0.0,0.0002,0.0002,0.0,0.0,0.0,
53,14.336,CRUISE,0.2173,0.4347,0.0,0.0001,0.0002,0.0,0.0,0.0,
54,14.532,CRUISE,0.213,0.426,0.0,-0.0,0.0002,0.0,0.0,0.0,
55,14.715,CRUISE,0.2982,0.426,0.0,0.0004,0.0004,0.0,0.0,0.0,
56,14.895,CRUISE,0.2982,0.426,0.0,0.0009,0.0005,0.0,0.0,0.0,
57,15.079,CRUISE,0.213,0.426,0.0,0.0007,0.0006,0.0,0.0,0.0,
58,15.291,CRUISE,0.2982,0.426,0.0,0.0011,0.0007,0.0,0.0,0.0,
59,15.503,CRUISE,0.2982,0.426,0.0,0.0014,0.0008,0.0,0.0,0.0,
60,15.712,CRUISE,0.2982,0.426,0.0,0.0017,0.0009,0.0,0.0,0.0,
61,15.921,CRUISE,0.2982,0.426,0.0,0.002,0.001,0.0,0.0,0.0,
62,16.123,CRUISE,0.2982,0.426,0.0,0.0022,0.0011,0.0,0.0,0.0,
63,16.339,CRUISE,0.2982,0.426,0.0,0.0024,0.0012,0.0,0.0,0.0,
