frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
1,0.913,CRUISE,0.35,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
2,1.791,CRUISE,0.2625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
3,2.126,PROBE,0.3785,0.5407,0.0,0.0,0.0,0.0,0.0,0.0,G1
4,2.419,PROBE,0.3661,0.523,0.0,0.0,0.0,0.0,0.0,0.0,
5,2.727,COMMIT,0.2547,0.5094,0.0,-0.0087,0.0028,0.0,0.0,0.0,G3
6,3.037,CRUISE,0.2494,0.4988,0.0,-0.0154,0.0031,0.0,0.0,0.0,G7_from_commit
7,3.366,CRUISE,0.2451,0.4902,0.0,-0.0166,0.0032,0.0,0.0,0.0,
8,3.77,CRUISE,0.2416,0.4831,0.0,-0.016,0.0031,0.0,0.0,0.0,
9,4.041,CRUISE,0.2386,0.4772,0.0,-0.0149,0.0031,0.0,0.0,0.0,
10,4.237,CRUISE,0.2361,0.4721,0.0,-0.0136,0.003,0.0,0.0,0.0,
11,4.428,CRUISE,0.2338,0.4677,0.0,-0.0124,0.0029,0.0,0.0,0.0,
12,4.625,CRUISE,0.2319,0.4638,0.0,-0.0113,0.0029,0.0,0.0,0.0,
13,4.858,CRUISE,0.2302,0.4604,0.0,-0.0103,0.0028,0.0,0.0,0.0,
14,5.116,CRUISE,0.2296,0.4592,0.0,-0.0094,0.0027,0.0444,0.1267,0.0,
15,5.321,CRUISE,0.2289,0.4578,0.0,-0.0086,0.0026,0.1252,0.3577,0.0,
16,5.512,CRUISE,0.2276,0.4552,0.0,-0.0079,0.0025,0.0,0.0,0.0,
17,5.708,CRUISE,0.2265,0.4531,0.0,-0.0073,0.0024,0.177,0.5058,0.0,
18,5.916,CRUISE,0.2255,0.4509,0.0,-0.0068,0.0024,0.0,0.0,0.0,
19,6.134,CRUISE,0.2245,0.449,0.0,-0.0063,0.0023,0.0,0.0,0.0,
20,6.342,CRUISE,0.2236,0.4472,0.0,-0.0059,0.0022,0.0,0.0,0.0,
21,6.537,CRUISE,0.2339,0.4679,0.0,-0.0054,0.0022,0.0052,0.0148,0.0,
22,6.738,CRUISE,0.2329,0.4659,0.0,-0.0049,0.0021,0.0,0.0,0.0,
23,6.928,CRUISE,0.232,0.464,0.0,-0.0045,0.002,0.0,0.0,0.0,
24,7.149,CRUISE,0.2311,0.4622,0.0,-0.0042,0.0019,0.0,0.0,0.0,
25,7.372,CRUISE,0.2314,0.4627,0.0,-0.0039,0.0019,0.1388,0.3965,0.0,
26,7.625,CRUISE,0.2309,0.4618,0.0,-0.0036,0.0018,0.1931,0.5518,0.0,
27,7.843,CRUISE,0.2301,0.4603,0.0,-0.0034,0.0018,0.0,0.0,0.0,
28,8.095,CRUISE,0.2294,0.4588,0.0,-0.0032,0.0017,0.0,0.0,0.0,
29,8.31,CRUISE,0.2287,0.4574,0.0,-0.003,0.0017,0.0,0.0,0.0,
30,8.52,CRUISE,0.228,0.4561,0.0,-0.0028,0.0016,0.0,0.0,0.0,
31,8.757,CRUISE,0.228,0.4561,0.0,-0.0023,0.0013,0.0,0.0,0.0,
32,8.972,CRUISE,0.228,0.4561,0.0,-0.0022,0.0013,0.0,0.0,0.0,
33,9.185,CRUISE,0.2169,0.4339,0.0,-0.0014,0.0006,0.0,0.0,0.0,
34,9.397,CRUISE,0.2169,0.4339,0.0,-0.0007,0.0001,0.0,0.0,0.0,
35,9.63,CRUISE,0.2169,0.4339,0.0,-0.0006,0.0001,0.0,0.0,0.0,
36,9.851,CRUISE,0.2169,0.4339,0.0,-0.0006,0.0,0.0,0.0,0.0,
37,10.047,CRUISE,0.2199,0.4398,0.0,-0.0005,0.0,0.0,0.0,0.0,
38,10.226,CRUISE,0.2207,0.4414,0.0,-0.0005,0.0,0.0,0.0,0.0,
39,10.435,CRUISE,0.2207,0.4414,0.0,-0.0004,0.0,0.0,0.0,0.0,
40,10.63,CRUISE,0.2207,0.4414,0.0,-0.0004,0.0,0.0,0.0,0.0,
41,10.848,CRUISE,0.2207,0.4414,0.0,-0.0004,0.0,0.0,0.0,0.0,
42,11.076,CRUISE,0.2207,0.4414,0.0,-0.0004,0.0,0.0,0.0,0.0,
43,11.324,CRUISE,0.2229,0.4458,0.0,-0.0004,0.0,0.0,0.0,0.0,
44,11.536,CRUISE,0.2221,0.4442,0.0,-0.0004,0.0,0.0,0.0,0.0,
45,11.764,CRUISE,0.2213,0.4427,0.0,-0.0004,0.0,0.0,0.0,0.0,
46,11.972,CRUISE,0.2295,0.459,0.0,-0.0003,0.0,0.0024,0.0068,0.0,
47,12.208,CRUISE,0.2345,0.469,0.0,-0.0003,0.0,0.0418,0.1194,0.0,
48,12.472,CRUISE,0.235,0.4701,0.0,-0.0002,0.0,0.0705,0.2013,0.0,
49,12.707,CRUISE,0.235,0.4701,0.0,-0.0001,0.0,0.0,0.0,0.0,
50,12.921,CRUISE,0.2353,0.4707,0.0,-0.0001,0.0,0.0716,0.2044,0.0,
51,13.147,CRUISE,0.2299,0.4598,0.0,-0.0,0.0,0.2345,0.67,0.0,
52,13.355,CRUISE,0.231,0.4619,0.0,0.0,0.0,0.249,0.7114,0.0,
53,13.548,CRUISE,0.2317,0.4634,0.0,0.0001,0.0,0.0001,0.0003,0.0,
54,13.744,CRUISE,0.2328,0.4656,0.0,0.0002,0.0,0.2561,0.7316,0.0,
55,13.947,CRUISE,0.2308,0.4615,0.0,0.0003,0.0,0.0,0.0,0.0,
56,14.144,CRUISE,0.2308,0.4616,0.0,0.0003,0.0,0.0033,0.0094,0.0,
57,14.341,CRUISE,0.2319,0.4638,0.0,0.0004,0.0,0.0201,0.0575,0.0,
58,14.539,CRUISE,0.2315,0.4629,0.0,0.0004,0.0,0.0602,0.1721,0.0,
59,14.753,CRUISE,0.2323,0.4647,0.0,0.0005,0.0,0.0885,0.2529,0.0,
60,14.952,CRUISE,0.2323,0.4647,0.0,0.0005,0.0,0.0,0.0,0.0,
61,15.176,CRUISE,0.2321,0.4641,0.0,0.0006,0.0,0.0411,0.1174,0.0,
62,15.386,CRUISE,0.2319,0.4638,0.0,0.0006,0.0,0.0231,0.066,0.0,
63,15.588,CRUISE,0.2319,0.4638,0.0,0.0006,0.0,0.0,0.0,0.0,
64,15.793,CRUISE,0.2319,0.4638,0.0,0.0006,0.0,0.0,0.0,0.0,
65,15.993,CRUISE,0.2317,0.4634,0.0,0.0005,0.0,0.0687,0.1964,0.0,
66,16.189,CRUISE,0.231,0.4621,0.0,0.0004,0.0,0.1371,0.3918,0.0,
67,16.392,CRUISE,0.2315,0.463,0.0,0.0004,0.0,0.0,0.0,0.0,
68,16.585,CRUISE,0.2392,0.4783,0.0,0.0004,0.0,0.34,0.9715,0.0,
